,youtube_id,comment,like_num,comment_date
0,Popunzel,인터넷 면세점 소소하게 털어보는 영상 들고 왔어요 치약부터 향수 화장품 건기식…?! 잡동사니까지 다양하게 담아봤으니까! 끝까지 봐주시고 즐거운 여행 되세요🩷,3.0,1개월 전
1,ajdfisjdsdij3210,향수 좋아보여서 바로 구경갑니다 ㅎㅎ,0.0,1개월 전
2,usergh2sj6nq2o,오늘 영상 화장이 너무 제스탈이네요,0.0,1개월 전
3,SONto4ip,포푼젤 pouezel님 명품 향수가 잘 어울리시네요.,2.0,1개월 전
4,dkdkkism733,오늘도 존예입니당️,0.0,1개월 전
5,userdx6yw4ue2m,,1.0,1개월 전
6,haiyingzheng8942,메디한 티트리 마스크팩 두박스 얼만가요?,0.0,1개월 전
7,dokgodiee,언니.. 먹방 영상 재업로드 예정 없으신가요 ,0.0,1개월 전
8,nmin5468,누나는 왜  그대로고???늙지 않는구만,0.0,1개월 전
9,naeun2303,전 유시몰 냄새가 토할거같아요 ㅠㅠ 나만 그러나,0.0,1개월 전
