,youtube_id,comment,like_num,comment_date
0,yogokazunori,"그 장소의 내부는 현대적이고 예뻐 보인다~
하지만 나는 바깥 정원 수영장이 가장 좋다!!! ٩(๑❛ᴗ❛๑)۶
퓨딩의 요리를 맛보고 싶다 ^^
언젠가 퓨딩-쏘블리 듀엣을 볼 수 있겠지!!",1.0,1년 전
1,userbk6de2op2n,언제나 아름다운 퓨딩 선녀,1.0,1년 전
2,userdp5co4lq6l,쪼꼬미가 귀엽단 말야 거기에 색시까지,2.0,1년 전
3,userke1rp5ki9d,수영장 너무 이뻐 공주 천사 심꿍 반했어요,0.0,6개월 전
4,dinlime5014,눈이 정말 매력있고 예쁘시네요..,2.0,1년 전
5,dijerio,자연 속에서 한가로이 할 수 있을 것 같다. 세련되고 깨끗한 풀 빌라군요. 함께 들어가고 싶습니다.,1.0,1년 전
6,userds1kd6lu2b,"오오우!귀여움과 섹시함의 공존이네요..ㅎㅎ
폭염과 코로나 조심하시기 바래요",1.0,1년 전(수정됨)
7,userjz1yx2pd2s,น่ารักจัง.,2.0,1년 전
8,DavidMannings,The place looks beautiful for a photo shoot. It's perfect for you.,1.0,1년 전
9,edgarrojo8975,Wow  que belleza de mujer ️,1.0,1년 전
10,userfo1sw7kj1i,"오늘도 재미있게 봤어요~ ㅎㅎ
늘 예쁜 퓨딩님도 보고여 나중에 노래하는 것도 들어보고싶네여ㅋㅋㅋ",1.0,1년 전
11,justinjjeon5030,풀빌라 완전 좋네요~ 노천탕도 좋고 최고최고,1.0,1년 전
12,userke1rp5ki9d,수영장 너무 이뻐 진심 이뻐 짱짱,0.0,6개월 전
13,useryf2zi1vu4b,"퓨딩님, 여성미넘치고 섹시하고 멋있습니다",1.0,1년 전
14,userdh7nf9vs7h,유튜브 영상 잘봤습니다 퓨딩님 이뿌네요 날씨가 비오네요 감기 조심하세요 많이 좋아하고 영원히 사랑해요️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️,1.0,1년 전
15,userfk5my5mb7j,10시에 영상 기대할게요 퓨딩님 못참지~~~,1.0,1년 전
16,userrf2ts9og8p,かわいい,0.0,10개월 전
17,jorgechucolaureano458,️️️️️,1.0,1년 전
18,TheDaisyhill,산후조리원 아니고  도내최고미소녀의 풀빌라 체험기 ️️,1.0,1년 전
19,userow1zd3ur9b,기대된당,1.0,1년 전
20,josemanuelherrera2153,Mi coreanita bella y hermosa 🇻🇪🇻🇪🇻🇪️️️️,2.0,1년 전
21,jesusyedra3449,Princess ,2.0,1년 전
22,luisalberto4993,Pureding My love ️ l enjoy all your videos you're amazing ,0.0,1년 전
23,AngelLopezyk5gy,,1.0,1년 전
24,WDI2008,Beautiful!,0.0,4개월 전
25,Bradjv1xu,What a wonderful place! How much did it cost to rent?,1.0,1년 전
26,avejoe,️️️,1.0,1년 전
27,userqe6sp8ud4t,10시 퓨딩님 영상이 기대되네요,1.0,1년 전
28,userqe6sp8ud4t,퓨딩님 너무 예쁘십니다,1.0,1년 전
29,userub5rl1hn9x,나무꾼이반했다면 카우도 반할게요,1.0,1년 전
30,userfk5my5mb7j,퓨딩님 오늘도 미모가눈부시네요,1.0,1년 전
31,finixpoll2042,와 저 백옥같은피부 ㄷㄷ,0.0,8개월 전
32,userly6mr3sv3i,,1.0,1년 전
33,KRJPNoblesseRaizelBVTI,"좋은 하루 되세요, 아름다운 여자애.",2.0,1년 전
34,songnyounghong1178,퓨딩님 ️ 안녕 풀빌라가 좋은데 퓨딩님 때문에 안보이고 퓨딩님만 보이네요️ 오늘 잠 못자요 너무  이쁘시네요  ,1.0,1년 전
35,useruv7zp1bv9o,귀여웡,0.0,10개월 전
36,DBix4sd,"선녀탕에 있으니 진짜 선녀네...
살이 빠지신것같음 ㄷㄷ",1.0,1년 전
37,userhv5fz7bq7x,️️️️️,1.0,1년 전
38,joseluisarismendi9802,Good location and nice woman  ,1.0,1년 전
39,userjz1yx2pd2s,,1.0,1년 전
40,hyun000228,저 정도 선녀면 오우야...,4.0,1년 전
41,mrkong7670,,1.0,1년 전
42,MrPom11,사랑해요.️,0.0,9개월 전
43,usercw5qz2vg7t,퓨딩 선녀님 >_<,1.0,1년 전
44,son7092,퓨딩 purebing님 아주예쁘시는군요,2.0,1년 전
45,nagakotd2a,my girl,2.0,1년 전
46,userly6mr3sv3i,お嬢がんばれよ( ≧∀≦)ノ111111,0.0,1년 전
47,userds1kd6lu2b,기대하겠습니다 ^^7,1.0,1년 전
48,juliocesarfarfanquispe9906,美人さんですね,0.0,4개월 전
49,francizcosoto6510,You are beautiful ,1.0,1년 전
50,BGK,"2:20 ""제가 직접"" * 10 ㅋㅋㅋㅋㅋ

2탼도 기대되네요 저기 지역이 어딘가요?",0.0,1년 전
51,PhongNguyen,,0.0,1년 전
52,tarsitanik7040,A k u ️️ m e n c i n t a i m u.,0.0,10개월 전
53,johnbravo8741,cute girl,1.0,1년 전
54,usertd6qj9uy7n,구독햇어요 ^^,1.0,1년 전
55,useril4uj9qq7e,누나 보고 싶어요ㅠ ㅠ,1.0,1년 전
