,youtube_id,comment,like_num,comment_date
0,Piro7,"덥다는말 취소

1번 에이카 (m착용)
https://www.musinsa.com/app/goods/3070864

2번 크리틱 (L착용 조금 큼) (PPL)
https://www.musinsa.com/app/goods/3057340

3번 위캔더스(M착용)
https://www.musinsa.com/app/goods/3052244/0

4번 오베이(M착용)
https://www.worksout.co.kr/product/144096",25.0,6개월 전(수정됨)
1,haejun,진짜 2년 전부터 보는 구독자인데 최근에 작년 영상을 봤어요. 정말 피로 형 코디부터 영상 퀄리티 까지 발전한게 보여서 으음... 신기하고 더 응원하게 되는 것 같아요! 학생이라 피로님이 소개해주는 옷을 다 갖고싶어도 사기 힘들지만 그래도 보는 것 만으로도 기분이 좋아져요! 피로 화이팅!,3.0,6개월 전
2,Midairthief,피로님 덕분에 니트족이 되어 이번 봄도 따뜻하게 본가에서 지내며 부모님 등골을 휘게끔 일조할 것 같습니다 감사합니다!,24.0,6개월 전
3,babyponyo,크리틱 니트 진짜 이쁘다. 컬러도 이쁘고 레터링?도 이쁘고 핏도 예술인 듯!,1.0,6개월 전
4,rainbowtteok,야외영상도 실내에서 찍은것과는 다른 느낌으로 좋네요 앞으로도 많이 찍어주세요!!,0.0,6개월 전
5,nachoingreenhouse,이번 시즌 크리틱 니트는 디테일이 깔쌈하네요.. 얼른 구매해야징,1.0,6개월 전
6,usercz2ov3ku4v,"니트 코디 도착해버렷자너
피로 채널 보고 구매한 옷의 거의 후회가 없었자너",1.0,6개월 전
7,TheGhke12,오베이랑 크리틱 니트 진짜 예쁘네요..,1.0,6개월 전
8,userjq1nb2hm5c,와 다이쁜데 오베이 너무 이쁜데요..!! ,1.0,6개월 전
9,userrg1vp8ou5v,아 마지막 오베이 룩 너무 마음에 든다…,0.0,6개월 전
10,seong1155,와ㅜ진짜 안예쁜 템이 없네요 ㅎ,1.0,6개월 전
11,okdongjiwoo,피로가 덥다하는 순간 날씨가 추워지기 시작했당,119.0,6개월 전
12,userxe3xj1cg8g,오베이 코디 진짜 좋다…,0.0,6개월 전
13,leehojin2263,오베이 5:03 이거보면 완전히 할머니룩 비슷한데 옛날에 지디가 이런 비슷한 룩  보여주다가 이게 무슨패션이냐고  놀림과 욕을 많이 먹었던것을 기억나는데  이런 스타일로 가긴 하나보네 역시 미래인 지디 존경스럽다.,6.0,6개월 전
14,useryi6tv2ye6u,오베이랑 위캔더스는 좋아요만 해놓고 살까말까 고민중이었는데 고민을 줄여주시네 ,0.0,6개월 전
15,usernm2xx7qn6p,오베이 니트 괜츈  튈것 같은데  찐한 바지와 포인트 무늬가 인상적이네,2.0,6개월 전(수정됨)
16,heon8013,크리틱 니트 촉감이 아주 좋죠,2.0,6개월 전
17,userhu4bb8ni8d,이번영상 완전 브랜드 룩북같슴니다 최고..,1.0,6개월 전
18,userxq4ev3kc7e,와 근데 야외촬영 느낌 너무 좋다,1.0,6개월 전
19,userzy9kc1yp8n,야외라 색다릅니다.니트는 더워서  꺼려졌는데..반바지랑매치하니 경쾌한느낌나네요.,1.0,6개월 전
20,lwjdgh08,와 진짜 개신기하다 피로가 덥다고 하자마자 비오고.... 개춥고.....,1.0,6개월 전
21,dpchanko8qc,피로님은 항상 날씨 얘기하는 영상 올릴때마다 반대로 바뀌는듯 ㅋㅋㅋㅋㅋㅋㅋ,2.0,6개월 전
22,ys7604,어떻게 4 아이템 전부가 특정 브랜드가 생각이 나네 ㅎㅎ,2.0,6개월 전
23,userpq3xl2mo9o,크리틱 니트 개이뿌당,1.0,6개월 전
24,DoubleJYC,니트 반바지는 처음보는조합인데 맛도리네요,1.0,6개월 전
25,kangsookim2719,크리틱 반팔도 사러 가야지… 그래픽 예쁘게 나왔으면 하네용 하핳,0.0,6개월 전
26,kimmcdac,와 미쳤다;;,1.0,6개월 전
27,userwm8ry5fl9g,니트 추천 타이밍 맛있다!!,1.0,6개월 전
28,userwe6qd7sg7z,피로님이 덥다고 하면 귀신 같이 추워짐 ㅋㅋ,1.0,6개월 전
29,hansyou4151,오 에이카 색감하고 봄냄새 물씬 나네요 바로 가겠습니다,1.0,6개월 전
30,pandagomm,피로님 사용하고 계신 카라비너 어디 제품인가요?,1.0,6개월 전
31,lims0824,리버스 기상청 피로님 파이팅입니다,1.0,6개월 전
32,userdx1oc4lf2w,하프 팬츠 정보 궁금해요 🥹,3.0,6개월 전
33,userws6us4eq9k,갑자기 한파가  두꺼운 옷 다 집어넣었는데 ㅠㅠ,1.0,6개월 전
34,userlm9mq9rw9o,크리틱 니트 소개해주실 때 신발 정보좀요!!,1.0,6개월 전
35,usercg5ek6be9h,비 오니까 개추워짐.. 조졌다,0.0,6개월 전
36,chanox,따뜻하다고 하시자마자 바로 비가 내리기 시작했다..,1.0,6개월 전(수정됨)
37,useryq6cr9jb1d,형의 계획은 날씨와 반작용한다,1.0,6개월 전
38,kimsoobak,2160으로 보니까 피로님 모공까지 보이는 기분이 드네요,1.0,6개월 전
39,usercs4cc2fp7e,야외에서 찍은거 느낌 좋네용,1.0,6개월 전
40,uservx8we6nc9s,하하 형 덕분에 내일 다시 영하온도가 시작 됐어요,1.0,6개월 전
41,userce3mh7nn3c,크리틱이랑 매치한 신발은 먼가요????,2.0,6개월 전
42,leehojin2263,,1.0,6개월 전
43,userzv5zu3os8d,날씨요정 오늘도 1승!,2.0,6개월 전
44,saeooh,지금 날씨는 영하 5도 입니닼ㅋㅋㅋㅋㅋㅋㅋㅋ 미친날씨 ㅠㅠ,1.0,6개월 전
45,useryp6yy8wk6x,날씨의 아이 피로... 내일 영화 3도 ㄷ ㄷ,1.0,6개월 전
46,userxh7pl5fh7w,크리틱과 착용한바지 어떤 건가요?,4.0,6개월 전
47,usergs7ny8yz1r,사이즈 몇입으셨어요?,1.0,6개월 전
48,usernb9mf1gk1j,팔찌 뭔지 너무 궁금합니다 형님,1.0,6개월 전
49,uservf4cp5pv2m,형 크리틱 니트 착장 손민수 좀 하려는데 칼하트 반바지 정보좀 알려줘!!,0.0,6개월 전
50,uservm6pn7wj4p,오 맛있네요 이번것들도,1.0,6개월 전
51,usergi4zd3xu2k,"크리틱 살까말까했는데 피로형영상 올라왔다
아 맛있다~",0.0,6개월 전(수정됨)
52,uservi5ic4zl1o,피로형... 이정도면 기상청 출신??,1.0,6개월 전
53,userlt6su4ng8z,여긴 연천 오늘 눈이 왔다,2.0,6개월 전
54,userbi3cv4be3d,니트폼미쳤다..... 이제아우터 계절은 가라....,1.0,6개월 전
55,zzangsung,형님 2번째 코디 칼하트 바지 사이즈 알려주실 수 있나요?,1.0,6개월 전
56,userii3mx4cm9s,형 오늘 얼어죽을 것 같아. 는 별개로 오베이...에이카 이쁘다아...,1.0,6개월 전(수정됨)
57,userfp6ze8bg3b,에이카 니트 너무 맛있네,1.0,6개월 전
58,oct4rin,형 나 추워… 다시 따뜻하게 만들어줘…,1.0,6개월 전
59,HuhMBT,진짜 추워져버렸다 .. ㅎㅎ…,1.0,6개월 전
60,kjh030601,형 머리스타일링 하는거도 올려주세요 캐이쁘네,1.0,6개월 전
61,userzv7di5et9z,이쁘죠 ?!,1.0,6개월 전
62,samsepiol111,반바지 안추워용?,1.0,6개월 전
63,userqn9qx1bo1b,형 나 오램만에 왔는데 보고싶었어,1.0,6개월 전
64,userxj4dm6tw2w,배터졍..️,2.0,6개월 전
65,usergx7bu8em8q,이쁘죠,1.0,6개월 전
66,Potoshi,고양이 졸귀,0.0,6개월 전
67,gggya417,날씨얘기 하는순간 추워진거 ••,1.0,6개월 전
68,useryn4km4jc3r,위캔더스 착용할때 입은 바지가 뭔가용 ㅜㅜㅠㅠㅠㅜㅜㅠㅠㅜㅠㅠㅠ,1.0,6개월 전
69,Tmmsm,형 마지막 보라색 바지 뭔가요??,1.0,6개월 전
70,usernq3xw9jz5n,피로님 추워요 ㅎㅎ,2.0,6개월 전
71,uyo9you,"날씨 얘기좀 그만해 형
오늘 비와서 춥다고...",1.0,6개월 전
72,HOL1C,바로 추워버리깅,1.0,6개월 전
73,userjm9fl5gj4d,맛있다..,1.0,6개월 전
74,inga4559,뭔가 눈이 확 뜨여진 느낌인뎅 카메라가 바뀌었낭,1.0,6개월 전
75,userdp4cz5hg3w,왕와으ㅏ우,1.0,6개월 전
76,gggya417,하프팬츠 어디껀가요 ?,1.0,6개월 전
77,GGuk5ih,내일 다시 추워져 버렸!~,1.0,6개월 전
78,yungyuseob4047,오늘 2도 실화냐,2.0,6개월 전
79,ulate,형 다시 개추워졌자나... 개추?,1.0,6개월 전
80,OFFICIALGAMST,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2.0,6개월 전
81,userdv8wi5ct1q,날이 왔다리 갔다리 왜이러나아 !,1.0,6개월 전
82,userys8nw4fp3k,자 그럼 이제 추워지는거지?,0.0,6개월 전
83,useryj6nc7rm3t,형 바지 좀 알랴줘요,3.0,6개월 전
84,userxl2ik5wg9t,아이 또 추워지겠네,1.0,6개월 전
85,sssssssssssssssssssug21,형 멈춰!!,1.0,6개월 전
