,youtube_id,comment,like_num,comment_date
0,Piro7,"청바지 좋아하세요? 이제 좋아하게 될겁니다

제품별 링크 착용사이즈

-유니폼브릿지 / selvedge denim pants deep indigo (M)
https://musinsaapp.page.link/zySx

-86로드 / REAL WIDE ONE TUCK DENIM BROWN / WIDE (28)
https://musinsaapp.page.link/EctK

-모드나인 / Evil Inside - MOD1w (29)
https://musinsaapp.page.link/driE

-굿라이프웍스 / 트레일 와이드 밴딩 카고 데님 팬츠 (M)
https://musinsaapp.page.link/wi1A

-인템포무드 / 뉴트로 컬러 데님 팬츠 (M)
https://musinsaapp.page.link/w3P8

-브랜디드 / 1853 LOKI JEANS [EXTRA WIDE STRAIGHT] (30)
https://musinsaapp.page.link/DFBQ",23.0,6개월 전(수정됨)
1,GGuk5ih,모든 핏 감을 자기만에 스타일로 풀어내는 게 개멋있네 진짜,19.0,6개월 전
2,rnseks9497,요즘 패션유튜버들 중에 제일 본인만의 아이덴티티가 뚜렷한 유튜버 잘 보고있습니다,2.0,6개월 전(수정됨)
3,mujin0822,항상 다양하게 리뷰해주셔서 너무 감사함다,0.0,6개월 전
4,userri5mk8ln4u,진짜 유행에 신경 안쓰고 다 맛있게 소화하시는게 대단하십네다..,2.0,6개월 전
5,kimsoobak,와 모드나인 흑청 진짜 예쁘네요 무릎 부분쪽 스크래치 준 포인트가 진짜 예쁘네요 !!,0.0,6개월 전(수정됨)
6,Viola666vvv,"진짜 피로형 내가 파고싶어하는 스타일,무드랑 너무 비슷해서 옆집보다 여기가 더 친근하고 좋아요 형 ㅠㅠ 인스타도 피드 감성있으시던데 언젠간 형보다 옷 잘입어볼게요  응원합니다",2.0,6개월 전
7,tongdoo112,항상 처음에 입고나오는 옷부터 이뻐서 나갈수가없다,4.0,6개월 전
8,1gyu99,와 핏감이 미쳤다… 브랜디드 특히… ㅠㅠ,4.0,6개월 전
9,userfb1wu2yv8d,이렇게 추천한다고 해서 시청자가 살 줄 아시나본데 맞습니다 구매했습니다 감사합니다,0.0,6개월 전(수정됨)
10,uyo9you,요즘 스트레이트 핏이 너무 이뻐보이잖아ㅜㅜ,4.0,6개월 전
11,picklekim4617,근데 솔직히 바지 자체 핏감도 좋지만 피로형이 바지 핏감을 진짜 잘살리는듯,0.0,6개월 전
12,nachoingreenhouse,요즘 핑크 컬러에 왜 이렇게 꽂히는지.. 인템포무드 바로 사야겠다ㅏ,0.0,6개월 전
13,migth7514,봄쿠폰으로 바지 사려했는데 큰 도움이 됐습니다!,2.0,6개월 전(수정됨)
14,daegyeonggeum1431,"카고팬츠 하나 생각중인데 고민되네요!저는 유행타지않고 두루두루 오래입을수잇는바지를 좋아해서 와이드핏보단 세미와이드,일자핏을 선호하는데..끄응...카고바지 이쁘긴하네요 흑흑",1.0,6개월 전(수정됨)
15,uservh8xi9ck3p,카고 팬츠 바로 Get 했습니다~ 감사해요!,1.0,6개월 전
16,userjs3jn9lw5c,유니폼 브릿지 설명해주실 때 베이지색 자켓 정보좀 알려주실 수 있으신가요 ㅠㅠ 너무 이쁘네요,2.0,6개월 전
17,ifesc,역시 코디맛집!,0.0,6개월 전
18,userhi7kr5uo3l,카고바지 존예…,1.0,6개월 전
19,ryongd,모드나인진하고 레더자켓 조합 좋네요,0.0,6개월 전
20,userim5sr8fh1t,첫번째착장 레더자켓 정보 너무 궁금한데요ㅠ,3.0,6개월 전
21,userws6us4eq9k,이번 영상도 너무 맛있네요 피로형 이미 장바구니에 콕콕 넣어서 살 예정입니다~ 퐈이팅! 브랜디드 하의는 사이즈 몇 입으셨어요?,1.0,6개월 전(수정됨)
22,donghyeon,86로드 팬츠가 칼하트 느낌의 하드한 소재인가요? 탄탄하고 밀도 높은 바지가 요새 끌리네요 츄릅,0.0,6개월 전
23,userdo8kk1zx6i,인템포무드에서 입으신 바시티자켓 브라운 어느브랜드껀지 알수있을까요? 너무 예뻐요!,0.0,6개월 전
24,5oh291,"브랜디드 데님 사이즈를 중간이라고 해보면
86로드 더 작고 모드나인 더 크고
유니폼브릿지는 비슷함
30size 기준",0.0,6개월 전
25,skyleovj2zp,첫번째 86로드 바지 사이즈 몇으로 코디한건지 알수 있을까요?,0.0,6개월 전
26,msymsy9588,인템포무드는 내려입는 바지가 아닌거 같아요 핏이 ㅎㅎ,0.0,6개월 전
