,youtube_id,comment,like_num,comment_date
0,userjk6fb2ck4v,피부의 힘을 강하게 해 주는 주베룩이라 하시니 저도 시술을 받아보고 싶어져요. 관심은 많지만 막상 상담을 받아보지 않으면 모르는 내용을 하나씩 짚어주셔서 두 번 돌려봤어요. :),11.0,6개월 전
1,heojunnn,요즘 안 그래도 제일 고민하고 있던 시술인데 이렇게 원장님께서 딱 알려주시네요 ㅎㅎ 항상 유용한 정보 감사드려요!!,9.0,6개월 전
2,uservt1wg3xh8g,우와 진짜 친절하셔서 바로 이해했어요..! 설명 너무 잘해주세요! 능력도 좋으신데 친절도나 설명 능력도 뛰어나신 것 같아요! 감사합니다ㅎㅎ 조만간 찾아갈게요ㅎㅎ,0.0,1개월 전
3,userlq2ye4ke2j,원장님 덕분에 좋은 정보들 많이 알아갑니다ㅠㅠㅠ 항상 너무 감사드려요!!!,8.0,6개월 전
4,userfp8yv2gt9x,저는 쥬베룩 2회차 시술했는데 엄청 민감한 피부에요!! 진짜 튼튼해지는게 느껴져서 사랑에 빠졌습니다️,16.0,6개월 전
5,ricardoahn2476,"저도 피알남 원장님께 쥬베룩 시술 3회 받았는데, 주변에서 피부결이 좋아지고 얼굴이 밝아졌다는 이야기를 많이 듣고 있습니다~ 남자분들에게도 쥬베룩 강추!",13.0,6개월 전
6,Sympathyplease,뉴욕사는 재미교포에요. 작년 여름에 원장님께 주베룩 시술 받고 왔는데 너무 효과가 좋았어요. 세계 어디를 가도 원장님처럼 꼼꼼하게 손주사로 시술해 주는 의사는 없는 것 같아요.  보스 피부과 주베룩 때문에 또 한국 가야할까봐요. 원장님께서 뉴욕으로 와주시면 안되나요? ,40.0,6개월 전(수정됨)
7,drhong3cosmetic,"* 영상 순서입니다
00:00 제가 쥬베룩 좀 많이 놔본 사람인데요…
00:28 쥬베룩 시술이란? (P-DL-LA)
03:16 쥬베룩 시술의 장점
05:15 ‘쥬베룩’과 ‘쥬베룩 볼륨’의 차이?
05:52 안 아프게 시술 받을 수는 없나요?
07:45 쥬베룩은 ‘필러’를 대체하는 시술인가요?
09:51 쥬베룩 부작용은 없나요?
10:29 쥬베룩 시술 전문의로써 시술 후기 (일본 의사분들 인터뷰)
11:47 다른 시술과 같이 하면 더욱 좋은 쥬베룩
13:05 총정리!",17.0,6개월 전
8,useruz2fs6rf1e,김홍석 의사님 혹시 일렉트로포레이션에 대해 한번 다뤄주실 수 있나요? 스킨부스터급 효과라고 하는데 부작용이나 정확한 정보같은게 많이 나와있지않네요 ㅜㅜ 한번 다뤄주시면 감사하겠습니다,3.0,6개월 전
9,userln5xl2so5k,요즘 피부에 관심이 많이생기는데요 끝판왕이라 유용한 정보 감사합니다.,5.0,6개월 전
10,justineahn7565,피부결 개선에 도움 되는 치료라고 하셨는데 모공 개선에도 쥬베룩이 효과적인지 궁금합니다,5.0,6개월 전
11,useriw7gk9vc4q,"영상 앞부분에서는 효과가 3~6개월 지속이고 뒷부분에서는 6~9개월 경과시 효과가 극대화 된다고 나와있는데 어느 게 맞는 걸까요? 앞부분 내용이 사실이면 콜라겐을 생성한 이후, 생성된 콜라겐의 유지 기간이 짧은 이유도 궁금합니다!",8.0,6개월 전
12,userzx8rx2lt5p,요즘 부쩍 피부관심이 많아져서 이것저것 알아보는데 쥬베룩 정말 괜찮아보이네요~ 늘 좋은 정보 감사해요 !!,4.0,6개월 전
13,usernc7uh9vn8d,"궁금했던 부분을 속시원하게 말씀해 주셨네요.
잘봤어요.",1.0,6개월 전
14,malibuhyun,"피부속에 넣을때 흡수가 안되서 쥬베룩이 많이 빠져나가더군요.
비싼돈 들여서 주사를 넣었지만 듀오덤에 다 빨려들어가는 단점이 있고 시술하는 의사에 따라 천지차이.
생각보다 피부속으로 흡수를 많이 하지 못합니다.",13.0,5개월 전
15,TheMusicmalife,"선생님! 혹시 눈밑 가로주름에 쥬베룩을 맞는 건 어떻게 생각하시나요? 
아니면 다른 좋은 치료가 있을까요?",3.0,2개월 전
16,usertz4zo4uk6d,성형외과에서 눈밑지방제거 수술 상담 받을 때 쥬베룩 시술받은 적 있음 금액이 추가된다고 하던데요. 이 부분에 대해서도 자세한 설명 듣고싶어요.,13.0,6개월 전
17,hoonarc,알아야할것들이 진짜 너무 많은거같아요,4.0,6개월 전
18,userth1lu1xt2s,피부가 건조할때 쥬베룩도 도움이될까요?,0.0,6개월 전
19,usersi9lu9ee9v,쥬베룩에 대한 정보 감사드립니다~,1.0,6개월 전
20,userxo6il9jz9m,요즘 피부에 관심 많은데 쥬베룩 시술 너무 좋은 정부네요,2.0,6개월 전
21,userlc4xz8wj2f,"50대 중반 얇은 피부입니다.깊은 주름이 아닌 쟈글쟈글한 잔주름에는 볼라이트와 쥬베룩중 어떤것이 좋을까요? 리쥬란을 쭉 맞았었는데 별 효과가 없네요.눈 아래쪽 광대뼈에 세로로 잔주름이 너무 많아서 쥬베룩이 볼륨있다고 하니 광대뼈의 잔주름 효과가 있지 않을까 싶은데 이건 몇달 주기로 맞아야 하나요?
답변 부탁드립니다.",3.0,6개월 전
22,angelim1fj,"부작용에대해서도
설명해주셔요",7.0,6개월 전
23,hahyunkim5491,오 이 채널 처음 봤는데 명쾌한 설명이 너무 귀에 쏙쏙 들어오네요. 생소한 쥬베룩에 대해 이해가 쏙쏙 되었어요 구독합니다 영상 하나하나 볼께요,2.0,6개월 전
24,gumsuuu1513,고민이 좀 날아간거 같아요 ㅎㅎ 혹시 엔코어리프팅 받는 중인데 쥬베룩 같이 받아도 되는걸까요? 궁금해요,1.0,4개월 전
25,userbk9ue3es2p,이마 볼륨 자연스럽게 채우는 시술 영상 기다리고 있습니다 영상 감사합니다,0.0,2개월 전
26,minsookim2569,"원장님, 팔자 부위가 꺼지는 것 같아 콜라겐관련 시술을 고민 중인데요... 어떤 피부과에서는 쥬베룩보다 스컬트라나 에스테필을 더 많이 권하더라고요... 원장님께서는 쥬베룩을 더 추천하시는 것 같은데, 혹시 이유를 알 수 있을까요?",0.0,6개월 전
27,userxq8ch4ke9b,쥬베룩이랑 리쥬란 차이점도 궁금해여 ! ˵ˊᯅˋ˵,7.0,6개월 전
28,winnie2057,피부에 대한 정보 잘봤습니다,4.0,6개월 전
