,youtube_id,comment,like_num,comment_date
0,drhong3cosmetic,"* 영상 순서입니다!
00:00 인도네시아 출발 전 (밤 11시)
00:00 Day 1-1. 출발 (인천공항~비행기)
02:30 Day 1-2. 인도네시아 도착 (공항~숙소)
04:28 Day 1-3. 인도네시아 첫 먹방
06:01 Day 2-1. 강연장 이동 및 도착 (I-SWAM 강연 참석)
07:00 Day 2-2. 강연 동안 도와주신 현지인 분
08:10 Day 2-3. 자카르타에서 만난 옛 제자들
09:49 Day 2-4. 쥬베룩 강연 (인도네시아에서는 생소한 쥬베룩 소개 목적)
11:58 Day 2-5. 강남식 이마? (Gangnam Forehead)
13:00 강연 피드백 및 논문 발표, Korea Derma 2023 소식
14:42 인도네시아 마지막 날 저녁식사 + 끝",5.0,9개월 전
1,userfp8yv2gt9x,"와 한국대표 쥬베룩 발표라니 정말 대단하십니다  
쥬베룩시술 경험자로서 진짜 만족합니다 볼꺼짐도 올라오고 화장이 엄청 잘먹더라구요ㅋㅋ앞으로도 k뷰티를 널리 알려주세요",3.0,9개월 전
2,Sympathyplease,원장님의 국제적인 명성은 알고는 있었지만 직접 보고 나니까 왜 유명하신지 알겠어요. 거의 k뷰티 국가대표  한국을 해외에 알려주셔서 감사해요. 바쁜 와중에 논문 연구도 하시고 원장님의 진료와 시술 더욱 믿음이 갑니다.,3.0,9개월 전
3,uservo2fu3my9r,저번에 퍼스널브랜딩영상도 그렇고 정말 열심히사시는것 같아서 많이 배우고 갑니다! 피부때문에 구독했다가 이제는 동기부여확실하게 하고간답니다 감사합니다 원장님!,0.0,9개월 전
4,userfq6fb4zg2c,"최근에 피부미용에 관심이 생겨서 많이 챙겨 보고 있습니다! 친근한 느낌이셨는데 해외에서 강연하는 이런 모습은 또 색다르고 멋있네요
혹시 피부 관련 질문은 어디에 하면 될까요?
여기다 바로 해도 되나요? 아니면 따로 질문할 곳이 있는지...",1.0,9개월 전
5,eunji4793,영어로 강의라니 정말 멋지세요,0.0,9개월 전
6,tenderjk,너무 멋있습니다 원장님 타이트한 일정에 많이 피곤하셨겠어요.,0.0,9개월 전
7,rockingrocking,와~~~~오랜만에 브이로그잘볼께요ㅎㅎㅎ,2.0,9개월 전
8,hyejupark7363,너무 재밌게 잘봤습니다 ㅎㅎㅎ,1.0,9개월 전
9,Dokdoiskorea,우와 대박,2.0,9개월 전
10,broniccc,"ㅋㅋㅋㅋ너무 재밌게봤습니다
미국은 안오시나용??",1.0,9개월 전
11,useric6yj5rn4f,젤네일할 때 쓰는 램프가 피부에 미치는 영향이 궁금해요,1.0,9개월 전
12,userqv4kp9vk6d,"잘드시네요 원장님ㅎㅎㅎ색다른모습
잘봤습니다",0.0,9개월 전
13,Skyid8sj,미국도 오세요 ~~~,0.0,7개월 전
14,tmm00000,"안녕하세요 원장님! 피부에 관심이 많은 뷰티유튜버를 희망하는 사람입니다. 외람되지만 한가지만 여쭈어봐도 될까요?
연예인 출신 x유튜버의 언급이 저의 호기심을 자극하여 염치불구하고 댓글 남기고 갑니다. 
피부의 멜라닌 색상과 삼원색의 상관관계에 대한 설명을 자문받고 싶은데 가능할까요?",0.0,9개월 전
15,johnkim6444,오가나랑 좀 비슷한듯ㅋㅋ,1.0,9개월 전
16,deendeen3954,곽튜브같아요 홍튜브?ㅎㅎ,1.0,9개월 전(수정됨)
