,youtube_id,comment,like_num,comment_date
0,Pinkjjelly,"00:00 시작
0:57 받은 시술 간단 소개
1:31 실펌엑스를 선택한 이유? (작용 원리)
1:56 시술 과정 및 소요 시간
2:18 일자 별 경과 (직 후, 다음 날, 3일, 일주일)
3:32 느낀 효과 및 만족도 
4:05 추천 횟수
4:15 일상 생활 바로 가능한지? 회복 기간
4:37 많이 아픈지? 통증 느낌 설명
4:54 피부과 시술 받고 나서 관리 tip
5:49 누가 받으면 좋은지? 추천 대상 
7:04 마무리",33.0,6개월 전
1,shownyzzang2711,언니의 엄청 꼼꼼한 정리 .. 진짜 넘 정성이야  설명이랑 한거보니까 나도 받고 싶은 마음 굴뚝 ...‎יִ‎יִ‎יִ‎יִ  이런 컨텐츠 넘 좋다 ,5.0,6개월 전
2,userfx8je6ho1u,헉 너무 꼼꼼하고 자세하게 잘 알려주시네요ㅠㅜㅜ,1.0,5개월 전
3,userwc6xh2mc2b,"피부 깔끔하게 완벽하게 정리정돈되어 있네요
보기쉬워서 좋아요",1.0,5개월 전
4,userje1km6tn3s,피부가 정말 좋으신데 설명도 잘하시네요,1.0,5개월 전
5,polykkang,피부 관리에 대한 좋은 설명이네요. 영상 많은 도움이 되었습니다.,1.0,5개월 전
6,TVdj8ds,피부관리 정말 중요하죠!,1.0,5개월 전
7,usersj9hv3ir3m,역시 깔끔하게 정리해신 핑글님!! 공부 잘하실거 같음,1.0,6개월 전
8,yooyoungkim,마침 고민중이였는데 좋은 정보 감사합니다혹시 바디 쪽 피부관리는 어떻게 하시나요?ㅠ 피부과에서 팔뚝 닭살 관리도 가능할까요..? 바디 피부 관리도 궁금합니다ㅠㅠㅠㅠ,2.0,6개월 전(수정됨)
9,usereg2hl8hd7p,오늘도 변함없이 예쁘고 말도 너무너무 차분하게 설명도 잘하시고 저두 받아보고 싶어요  비용이랑 병원은 어디인가요?  알려주세요️️,2.0,6개월 전
10,useryt8fh7lr9y,실펌엑스 효과 좋다고 요즘 많이 봐서 고민중이었는데 핑글님이 추천해서 믿고 받으려고 합니다ㅎㅎ 병원이랑 시술비 알 수 있을까요??,0.0,6개월 전
11,momarc1486,진짜 정성추네요 대단쓰,1.0,5개월 전
12,fredy7200,와 좋은 친구야 정말 멋지고 스킨케어도 정말 멋지다 항상 있는 그대로 아름다워 보여 JJELLY 정말 독특하고 멋져,3.0,6개월 전
13,yooooomi3,우아앙~~치크는 어떤거 쓰셨나용~^^??,4.0,6개월 전
14,soo7709,"Much interesting~~   stay safe. Excellent! 
I wish you the very best...",0.0,5개월 전
15,yunbum412,아우 진쨔 예뻐주겅  ˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣근데 이거 여름에 해도 괜찮을까용?,3.0,6개월 전
16,useruk8us2gy2l,실펌엑스에 대해 자세히 알게되었어요,1.0,4개월 전
