,youtube_id,comment,like_num,comment_date
0,Pinkjjelly,"00:00 인트로
00:20 애프터눈티
01:26 룸투어
03:57 해피아워
06:05 조식
06:41 수영장 
07:44 반신욕
08:17 총평",21.0,1년 전
1,berk2523,I honestly love pingle just evaluating the whole hotel interior design and describing it all🥹,1.0,1년 전
2,shownyzzang2711,쏘스윗한 서프라이즈 파튀.. 수영복 보고 수영장에서 넘 이쁘고 난리 나겠다 했는데 .. 갑분피로연큐큐큨ㅋㅋㅋㅋㅋㅋㅋㅋ자막들 왜캐웃기짘ㅋ쿠ㅜㅜㅜ 마지막 총평도 넘 좋다 .. 호캉스브이로그 또 존버 .. 넘 좋아 언니의 브이로그 ㅜㅜ♡,4.0,1년 전
3,userrd7se7hl9p,"핫 오랜만에 호캉스 브이로그~~~ 가본적 없는데 다녀온듯한 느낌이에요 ㅋㅋㅋ
중간중간 찐꿀팁들도 너무 좋아요 ㅠㅠㅠ 
갑자기 호캉스 하고 싶어졌어요",18.0,1년 전
4,BTS1113Jin,"7:12 피부가 투명하다 못해 반짝반짝 부러워요ㅠ,,,,
요즘피부 뒤집어지기 시작하는데 새로운 피부관리 영상 시급해요",2.0,1년 전(수정됨)
5,yooyoungkim,언닠ㅋㅋㅋㅋ영상 보니까 제가 마치 호캉스 다녀온 너낌쓰 ㅋ ㅋ ㅋ ㅋ 저도 친구들이랑 한번 이렇게 이용해볼게융️‍️‍,7.0,1년 전
6,brandonalfaro3702, 🇨 ,2.0,1년 전
7,usermg9xi7jf5h,우ㅜ와 핑글님 브이로그 기다리고 있었다구ㅠㅠ 대리만족 됩니당,5.0,1년 전
8,userwd8fp3rd7p,"와,,,부러워요,,,맛있는것도,,쉬는것도 힐링!",3.0,1년 전
9,userrk3vr2tg8x,우와.. 너무 부러워요! 천국이 따로 없네용,3.0,1년 전
10,sendalsepatu7761,  ,2.0,1년 전
11,fredy7200,"와우 너무너무 예쁜 영상친구지만 무엇보다 최고는 몸짓이 너무 웃겨서 웃기네요 ㅋㅋㅋㅋ 근데 넘 귀엽고 생일날 너무 귀여워서 순간 다 너무 귀여웠어요 
많은 성원 부탁드립니다 ",3.0,1년 전
12,userlz5rh3vq5x,5:33 우와.... 공주님 같다 언니 부러워부러워부러워요!!,6.0,1년 전
13,usereg2hl8hd7p,"와 눈으로 호강하는중 하지만 호텔도 너무좋은데  언니밖에 안보이는 이유는 멀까요?^^ 옷도다  너무 이쁘고 스타일도 굿 
얼굴도 너무 이쁘고 아름답네요
저처럼 한번도 호캉스 가보지 못한 친구들에게 많은 도움이 됐어요  감사  최고에요~~^^",2.0,1년 전
14,tendymuhammadrizki98000, 🇨,2.0,1년 전
15,myeongeunkim4961,우아로운 일상이시네영^^*,2.0,1년 전
16,savascituna2324,pingle unnie️️️ yeppeoyo️️️️️,2.0,1년 전
17,altairdrop,여기가 바로 천국인가요? 대박쓰,2.0,1년 전
18,cuisineminiature2235,  ,2.0,1년 전
19,gobankpanoramastudio3494,,2.0,1년 전
20,jsusussbshsh4832,im too poor to afford this,2.0,1년 전
21,userje6jt9vq8g,이렇게 노출해도 되는 겁니까 핑퐁부장으로서 용납할 수 없어요,6.0,1년 전
22,Helpful4All,Stunning,0.0,1년 전
23,userbp6nj2mi5g,인스타  DM 좀 읽어주세요 ㅠㅠ,2.0,1년 전
24,keskralyoutube3528,Love pingle🫶,5.0,1년 전
25,nyindir6846,Hey im in seoul we’re not to far apart&amp;lt;3,1.0,1년 전
26,JERRY78654, ,2.0,1년 전
