,youtube_id,comment,like_num,comment_date
0,hanachoi01,"전량품절입니다!!
향기로 힐링하시구 꿀바디되세요♡",10.0,1년 전(수정됨)
1,min8296,"언니 영상 맨날보다가 결국 구매 완료 했어요!! 인스타그램에도 댓글 남겼습니다~ 올오버퍼퓸만 써보다가 언니가 알려주신 기능성 바디로션이라는 말에 올여름 너무 많이타고, 모기도 많이 물려서 피부에 보약같은게 필요하다고 느껴졌어요~그러던와중에 좋은 이벤트가 생겨서 제품 구입 완료 했어요^^ 하나언니가 추천하는건 믿음이 가요~~ 늘 진정성 있어 보이거든요잘쓸게요 ㅎㅎ 감사해요~ 향으로 매일 힐링 할게요 ",4.0,1년 전
2,useruv1if1fw8h,공구하는 날만 기다리다가 2세트 주문하고 바로 써보니 일단 향기가 너무 좋아요~!! 향기로 힐링한다는 말이 무슨 말인지 이해했어요~ 그리고 저는 끈적이는 제품은 절대 못 바르는데 레피소드는 끈적이지 않고 바로 흡수되지만 촉촉함도 남아있어 너무 좋더라구요^^ 그래서 추가로 유네버노우 한세트 더 쟁였네여~^^,0.0,7개월 전
3,22missluv,지속적으로 먹고있는 콜라겐도 가족모두 대만족~ 이번에 레피소드 향기별로 전부 경험하려고 여러조합으로 구매했어요~! 예쁜 하나언니님! 항상 좋은 혜택 감사해요~ ,3.0,1년 전
4,userwx1wd2bo6q,"전에 한 연예인이 추천템이라고 하는거 보고 써보고싶다 생각했는데 가격이 부담스러워서.. 못사고 잊고 살았는데..
하나언니가 공구해주셔서 드디어 써보네요ㅠㅠㅠ감사합니다..
너무 오래전부터 써보고싶었던거고 하나언니 추천영상 보고 더더 써보고싶어져서 기대 엄청 안고 산거라 실망할까봐 배송 기다리면서 걱정했는데 실망은 무슨…
공구할 때 한번에 더 쟁여놓을걸 싶어요 ㅠㅠㅠ
일단 향기가 미쳤고요… !!!!
제가 건조한편인데 바르면 겉으로 하나도 안끈적거리는데 촉촉해서 너무 좋아요!!!
올오버퍼퓸도 은은하게 몸에 남아있어서 외출 전이나 자기 전에 뿌리면 기분 너무 좋아요…공구 꼭꼭 빠른 시일 내에 또 해주세용 언니..",0.0,7개월 전
5,userep6tq1cl5h,콜라겐 이후로 공구하시면 신뢰도 팍팍 올라서 구매옵션만 고민하다 바로 시킵니당!ㅎㅎㅎㅎ 향덕후인 저로서는 그냥 지나칠 수가 없는 그런 제품.. 장미향 사랑하는데 너무 맘에들어서 두세트에 남편 향수까지 지르고 갑니당,3.0,1년 전
6,joyjung5715,"꾸준히 이벤트 해주셔서 감사해요 하나님 
시코르에서 시향해봤는데 하나님이랑 똑같은 3개가 젤 좋더라구요 ㅎㅎ
역시 하나님 쵸이스는 최고><
요즘은 인더엘리베이터가 넘 마음에 들어요 
이렇게 고급재료를 쓴 바디 제품들을 이 가격에 만날 수 있다니...!!
하나님 최고 오늘 영상도 사랑입니다",5.0,1년 전
7,userjk6fm5fc3n,"하나언니께서 추천해주시는
영상보고 바로 샀어요
고민은 배송을 늦출 뿐ㅎ
향수로 온몸을 덮는 기분이 들어서
힐링이 되네요
단순히 향만 좋은게 아니라
제품성분도 피부에 좋아서
샤워하고 나면 로션을 발라도
건조했는데 신기하게
확실히 차이가 나네요
하나언니 덕분에 가격까지 착한가격에
구입하게 되니 선물받은 기분이에요
혼자만 알고싶을만큼 찐으로 좋은제품
친한 언니처럼 아낌없이 알려주시니 언니 믿고 좋은가격에 
늘 믿고 사게되요 항상 감사드려요
새해 복 많이 받으세요",0.0,7개월 전
8,userkk8mh4nu8r,솔직히 바디로션 워시 어렸을때는 그냥 가성비 따져서 막 썼던것 같은데 나이 들수록 성분에 관심이 많이 가더라구요. 이번 공구 통해서 레피소드 알게 되었고 알아봤더니 실후기들이 만족도가 엄청 높더라구요. 그것만큼 확실한 건 없는 거죠. 제것도 사면서 선물용도 함께 구입했어요. 전 선물은 대부분 제가 사용해보고 만족하면 사는데 이번엔 과감히 구입했네요. 역시 만족합니다. 믿고보는! 역시!,0.0,7개월 전
9,userrw4mo9fm9w,"하나 님의 공동구매는 늘 만족도가 좋아서
보자마자 구매하게 만드는 매력이 있습니다.
처음 써볼 생각에 기대가 만땅입니다.
늘 좋은 제품 소개해주셔서 감사해요^^",0.0,8개월 전
10,userux4kk6ql3b,일단 믿고 두개 구매완료입니다ㅋㅋㅋ 최근 구독자로 믿고 보고 있는 채널이에요 그냥 무지막지하게 광고제품만 주구장창 하는 다른 채널들 보다 저렴하게 직접 만들어서 쓰거나 찐 꿀팁들 마구마구 왕창 알려주셔서 세상 이리 착한 유튜버일 수 있너 싶었어요ㅠㅠ 감사하고 앞으로도 쭈욱 챙겨볼께요,0.0,7개월 전
11,usernd6fu1gi7k,"언니 안녕하세요
[레피소드 바디로션, 바디워시]의 다음 이벤트가 언제로 예정돼있는지 알 수 있을까요?? 매번 좋은 정보를 아낌없이 공유해주셔서 정말 감사합니당️",1.0,5개월 전(수정됨)
12,userrd9xv9de9f,"50대에 저를 관리하는걸 하나님덕분에 알아가서 항상 감사하게 생각합니다.
이번엔 레피소드를 알았는데요~
여행갈때도 그냥 가지고 다녀도 될정도로
아담하고 
바디워시는 촉촉하며 향이 오래 남아 좋습니다 
바디로션은 향도 은은하고 미백.주름개선까지 된다니 샤워하고 바로 얼굴도 같이 바르고 나옵니다.
아들이 향이 너무 좋다며 자기꺼 따로 사달라하네요ㅎㅎ

러브 인 디 에어 올 오버 퍼퓸은 제가 향수를 안쓰던 사람이라 조금은 진하게 느껴집니다
양조절을 해서 뿌리고 있어요~ 달콤한 향이 어색하진 않아서 좋아요50대에 저를 관리하는걸 하나님덕분에 알아가서 항상 감사하게 생각합니다.",0.0,7개월 전(수정됨)
13,usernd5ul3dd7r,"이벤트 한다고 공지 올라오기만을 기다리는 제품중 하나에요 
4계절내내 바디로션을 달고 살 정도로 건조한 피부라서 이것저것 다 써봤지만 끈적이는게 항상 불만족이었는데 레피소드는 끈적이지도 않고 향이면 향 부드러운 발림성과 촉촉함까지 놓칠수 없는 제품이죠 이게 몇번째 재구매인지ㅋㅋ 정가로 구매하기는 너무 부담스러워서 이벤트 할때 3~4개월 넉넉히 쓸수있게 쟁여요
좋은가격에 좋은제품 하나언니 고마워요~~",0.0,7개월 전
14,esthers4775,하나님 레피소드 이벤트 올라오기만 기다리고 있었어요^^ 정말 좋은거 아니면 주변에 추천하지 않는 편인데 레피소드는 만나는 사람들마다 적극 추천하고 있어요 다리가 특히 건조한 편인데 바디로션이 큰 도움이 됐어요~ 모두 하나님 덕분이에요 앞으로도 계속 이벤트 해주세요,4.0,1년 전
15,usergf5jr3rv1d,바디워시와 로션  향도 좋고  몸 건조증   잡아줘서 넘 좋아요~~향수도  넘넘  좋아요~~징여두고  쓴다는  말에 적극 찬성입니다~~~여유되시면 꼭 징여주세요~~^^,0.0,7개월 전
16,userxo1xn8rk9p,주문해서 어제 도착했어요 ㅎㅎ 저번 공구때는 그 전에 공구때 샀던게 남아있어서 건너뛰었는데 이지브리디만 남아서 이번엔  인더엘레베이터로 구입했어요!! 인더향 너무 좋아요오오오오오 제 최애 ㅎㅎ 그 다음엔 이지브리디.. 저는 바디크림을 워시보다 많이 사용해서 바디크림을 몇개 추가로 구매했어요 너무 좋아요 그동안 없어서 그냥 다른 제품으로 썼는데 이제 쓸 수 있어서 너무 좋아요!! 근데 이지브리디향으로도 하나 시킬걸 그랬어요 바보 ㅠㅠㅠㅠ 저번엔 미니사이즈도 주셨는데 이번엔 없어용 다음엔 구성에 넣어주세요 이히히 어디 놀러갈때 쓰기 좋아요 아! 그리고 펌프형으로 돼 있는데 어디 가져갈땐 펌프가 눌릴까봐 못가져가겠어요 중간에 펌프를 고정시킬 수 있는 것도 같이 나왔으면 좋겠어요~!!! 잘 쓰고 몸에도 영양 팍팍 줄꺼에요.. 언니덕분에 사요 감사합니당~~ ,0.0,7개월 전
17,useriw9nf3rp1e,"나이 50 넘어 유튜버보고 주문하긴 처음 이네요..ㅎ
사실 반신반의 하면서 주문했는데 오늘 처음 제품 받아 사용해보고 두셋트 , 그리고 퍼퍼퓸도 셋트외에 2개 또 주문했답니다~^^
좋다는 제품은 거의 다 사용해봤고 가끔 피부 가려움 때문에 더**연고도 바르는데...ㅠㅠ
이 제품 정말 좋네요~
하나님 덕분에 좋은 제품 알게되어 고마워요~^^",0.0,7개월 전
18,userzk2nm4ej4n,"이번에 넘 기다렸어요^^ 향별로 남편과 쓰고있는데, 인더엘리베이터가 제일 좋아서 주문했어요ㅎ 바이레도선물받아서 써보다가 역시 레피소드로 돌아왓지요^^ 
다른건 이제 못쓰겠어요ㅠ  향도좋으면서, 건조함도없어서 진짜 좋아요 
하나언니 감사해욤",3.0,1년 전(수정됨)
19,usermg7lj8em1b,설마설마하고 주문해서 쓰고있는데 아침저녁으로 너무나 만족하고 있어요~앞으로도 좋은제품 부탁드려요~^♡^,2.0,1년 전
20,youngkwon5220,레피소드 바디워시와 로션으로 저는 맨날 샤워할때마다 힐링해요 ㅎㅎ 원래 로션 잘 안바르는데 향이 너무 좋고 끈적이지 않아 앞으로 레피소드만 쓸거 같아요️ 레피소드 추천해주신 하나님 너무 감사해요!!,3.0,1년 전
21,userie4ic6qq4y,"이쁜 하나님 덕택에 넘 좋은 제품 알게 되어 기뻐요~ 저는 냄새에 민감한 편인데 향수. 바디로션, 바디샤워 찐으로 좋네요~벌써 3번째 구매입니다~♡♡♡♡",2.0,1년 전
22,usertt5bf1jt9l,"하나언니~~덕분에 좋은 상품 잘 쓰고 있어요~^^ 인더엘리베이터 제 취향이에요 향도 너무 좋은데 약산성에 성분도 좋고 거기다 주름미백 기능성이라니~~ㅎㅎ 
너무 좋네요 ㅎㅎ",2.0,1년 전
23,useruc9ji8pm8o,두번째 구매완료^^ 로션 끈적이지않아 너무 좋아요~ 인더엘리베이터 장미향도 좋아서 요즘은 다른향수 안쓰고 이것만써요ㅎㅎ,1.0,1년 전(수정됨)
24,hijang5661,"레피소드 바디로션을 작년 3월부터 추천해주셔서 꾸준히 쓰고있는 1인입니다 
이건 진짜 인생 바디로션, 크림이라 주변에도 계속 추천해주고 구매까지이어지면 굉장히 뿌듯해하고있습니다 레피소드는 향기, 끈적임, 촉촉함 빠질게없는 바디로션이라 너무 강추하고싶어요 퍼퓸은 또 말이필요없져 30년 넘는 인생동안 향수는 단한번도 안쓰고.. 냄새가 너무 심해서 토할거같았는데 레피소드 퍼퓸은 전혀 거부감없이 은은하게 좋은향이납니다 이제는 주변에 향기가너무좋다고 어디꺼쓰냐고 할때마다 너무 좋아서 이번에도 완전 챙여놨습니다 진짜 너무 좋아요 좋은가격에 판매해주셔서 감사해요!!!",0.0,7개월 전
25,usergx6ji7zv5d,"지금 막 받아서 써 보았는데 은은하니 힐링 되네요^^
향수통은 솔직히 저렴해 보이는데 고급진 향이 나서 깜놀했어요ㅋㅋㅋ",4.0,1년 전
