,youtube_id,comment,like_num,comment_date
0,jeongy9849,"하능님 마인드가 너무 멋있는거 같아요. 
힘들법도 한데 목표한 바를 향해 끊임없이 달려가는 마인드가 정말 남다르네요. 
이런 하능님한테 머리 받으면 얼마나 열심히 해주시는지 알기때문에 너무 기분도 좋고, 결과도 좋을수밖에 없을 것 같아요. 
저도 꼭 한번 가서 받아보고싶네요!!",1.0,3개월 전
1,SEHOARTIST,"포기가 아닌 선택을 하는 프로,
정말 배운 점이 많은 영상입니다!!
다른 영상 재밌게 봐서 둘러보다가 이 영상으로 구독 누르고 갑니다! 하능님 응원합니다 :-D",0.0,2개월 전
2,es583,정말 이야기 이쁘게 하시는 하능님... 더 잘 되셔서 선한 영향력 많이 펼쳐 주세요~,1.0,3개월 전
3,nishidayuji,가사 출연한 udt군인들중에 가장 프로다운 프로는 하능님이었네요. 제대하고나서도 뚜렷한 자기 기술이 있고 또 그것으로 성공했고 계속해서 달려가는 모습이 너무 존경스럽습니다. 다른 출연자들은 서로 헐뜯으면서 조회수 돈벌이 치킨게임이나 하고있는데..,5.0,3개월 전(수정됨)
4,Jinhaeryong918,프로란 범위안에서 하는게 아니라 혼신을 다해서 하는게 프로란걸 알려주고 있는거 같아요ㅎㅎ,2.0,3개월 전
5,seoryeong2,너무 멋지신말씀 얼굴도 잘생기고 멋있는 하능원장님 당신은 어느별에서 오셨나요,1.0,3개월 전
6,imfake4789,"구독하고 갑니다~
멋진모습 보기 좋아얘~",0.0,3개월 전
7,rabbitgirl1976,사건사고 없는 당신의 인생은 대단합니다 !!,1.0,3개월 전
8,cjstk1004,프로로 가는길 어렵네요,4.0,3개월 전
9,Soodall,비가오나 눈이오나 나는 나의 자리를 지킨다.,3.0,3개월 전
10,spiritualsoulee,하능님은 어떤 교회를 다니십니까?,0.0,3개월 전
11,userig9yx3to7q,이근대위에 대해서 어떻게 생각하세요,0.0,3개월 전
12,usergn1gx2lz9i,형님 h 님 뱀 인가요?,4.0,3개월 전
