,youtube_id,comment,like_num,comment_date
0,ha00211,ㅎㅎ 여러분 진정하세요 폴더폰으로 제목 바꿨어요 ..,23.0,11개월 전
1,usernr8dc7du7z,요즘 시대에 미디어에 중독이 안된 사람들이 없는데 그 가운데에서 선한 영향력도 시도 해보시고 응원하고 기도할개요. ,99.0,11개월 전
2,usertl6wj1ky3z,"채널 컨셉? 너무 재밌고 이뻐요
사실 처음엔 어색했는데 영상을 보면 볼 수록 자막 스타일이나 분위기가 너무 좋아요 ️",3.0,10개월 전
3,userod2kj8pd8w,디지털 디톡스라기엔...... 약간 어쩔수 없을때만 고기 먹는 비건챌린지 보는기 분...,373.0,11개월 전
4,NewsongGwaknet,"우앙 마음이 얼굴보다 더 예쁜 롱렁이 언니
늘 기대가 되는 롱롱튜브️",20.0,11개월 전
5,goodthought1175,우린 이걸 홍대병이라고 해요,215.0,11개월 전
6,userzw5ly5ro4z,대단해요..! 저도 요새 너무 스마트폰 중독된거같아서ㅠㅠ 고민이었는데.. 완전 대단,16.0,11개월 전
7,userxk9fk2tg7x,요새 2G폰은 진짜 안되는게 없더라구요! 롱이 언니라면 스마트폰 중독 꼭 이겨내실수있어요!,2.0,11개월 전
8,userfq2nt7zr1i,온갖 인스타 유행과 힙한 트랜드를 따라가고 좋아하는 20대 여자 유튜버가 미디어 중독에서 벗어난다고 폴더를 쓰는건 그냥 과잉된 선민의식과 허영심 그 자체가 아닌가 바로 다음영상에서 아이폰 케이스사고 쓰는 모습도 코미디 그 자체,249.0,11개월 전(수정됨)
9,cherryKkyuKkyu,미디어 금식 ... sns 금식 좋은듯용 !!! 해봐야지 해봐야지 했는데 잘 안되는것도 참 고밍이였능데 엉니 보면서 용기 얻어요 !!!,9.0,11개월 전
10,soma9977,"돌멩이그립톡 삼만원....ㅋㅋㅋㅋㅋ
진짜 뇌절까지 갔구나",71.0,11개월 전
11,iamnaomi,"정말 훌륭한 생각을 했네요~칭찬~~
저도 요즘 너무 폰만 들여다보는거에 내 자신이 질리지만 못끊는다는점;;
저도 폴더폰으로 진짜 바꿀까봐요~
폴더폰사용 후기 기대합니다.",6.0,11개월 전
12,haeun630,"크크 롱롱온니 투지폰 까지 너무 귀엽다 ㅠㅠ나도 진짜 중독인데 투지는 못 쓸거같은데 온니 최고야 .....🫶
더현대에서 우연히 롱롱언니 마주치는날이 오기를 ㅠㅡㅠ ",7.0,11개월 전
13,MVMvef1nk,"2g폰이 아니라 피쳐폰이라고 하는데 맞습니다. 2g, 3g가 스마트폰이냐 아니냐로 나뉘는 기준이 아닙니다.",19.0,11개월 전
14,userem8xm1ps5e,저도 재작년에 스마트 폴더폰 썼었는데... 자판이 너무 답답 하고 문자로 거래처에서 사진을 보내주는데 용량이 커서 자동으로 사진이 깨져서 받아져서 눈물을 흘리며 다시 스마트폰으로 돌아 오게되었다며ㅠ.ㅠ,6.0,11개월 전
15,userzk4ho4ru3o,미디어 금식은 하면서.. 유튜브업로드는 못 끊는 홍머병….,17.0,10개월 전
16,userpd3qf4rl4f,저정도면 대단한 결심 아닌가요!? 한번에 확 끊어낼 순 없으니 차근차근 끊는거죠!! 너무 응원하고 저도 미디어금식 성공하고싶네요..,3.0,10개월 전
17,yasuo03YouTube,이런 아이디어를 기발하시다니 대단하십니다,5.0,11개월 전
18,jjindda8318,나만 그런줄 알았는데 언니도 그러한 중독되어 있었네요 그런 고민이 있을줄이야,1.0,11개월 전
19,163o2,편집 너무 조화요 ,1.0,10개월 전
20,usersi9hz3iq5v,폴더폰 이뻐서 샀나본데 길어야 2달본다 ㅋㅋ,25.0,11개월 전
21,userub6cw8hf9i,진쨔 인스타만 안해도 숨이 트이는거가타여 미디어 금식 저두 조금이나마 함께할게영,1.0,11개월 전
22,userpu2pn7bo8p,"언니 미디어 금식을 통해 하나님과 더 가까워지는 시간이 되겠어요! 저도 반성하구 갑니당,,🥹",53.0,11개월 전
23,blackluke,"이분 댓글로 왜이렇게 까이는거야 ㅋㅋㅋㅋ 재밌네요
그냥 자기가 하고싶으면 하는거지 뭐... 그래도 이게 디지털 디톡스는 아닐거같고 그냥 흉내만 내는거같다는거에는 동의합니다.",10.0,11개월 전
24,userpo2cp4yf7w,난 힙하고 트렌디한 20대지만 이렇게 미디어중독에 대해서도 깊게 생각할줄아는사람이야~~멋있지?? 물론 인스타 유튜브 다 되는건 비밀>_< 어차피 힙하게 보이기만 하면돼!!,26.0,11개월 전(수정됨)
