,youtube_id,comment,like_num,comment_date
0,jy6623,"언니가 너무 예뻐서 영상 끝까지봐용,, 코디도 다 너무 예쁘고 연말룩 여기서 샀었는데 가격대비 너무 퀄 마음에 들었었어요!! 하비언니 체고",1.0,8개월 전
1,userkg3nw4pk9v,2주 동안 하비언니에서 30만원어치 지른 것 실화입니까.. 코디영상 너무 따라입고 싶어져요ㅠ,1.0,8개월 전
2,SONto4ip,하비언니님 겨울룩북이 너무 잘 어울리시네요.,9.0,8개월 전
3,hhxw1so,공무원 준비중인 학생이라 돈도 없고 입을일도 없어서 대리만족 하고 갑니당ㅎㅎ,1.0,8개월 전
4,ysshS2,머야...? 이언니 왜케 이뻐??????????ㅠ  ㅠ옷도 다 내스타일이야!!!!!!!! 당장 구독ㅠ  ㅠ  ㅠ,0.0,7개월 전
5,usertp2iy2pg2q,정말 65키로 맞으신가요....엄청 여리여리 하신 것 같아요 ㅠㅠㅠ 너무 이뻐요,4.0,8개월 전(수정됨)
6,userhi5of7yb3u,바지 착용은 구두 안신고 운동화 신고 찍으신 영상도 쇼핑몰 홈페이지에 같이 올려주실 수 있나요? 구두 신으면 핏 자체가 아예 완전 달라져서용,3.0,8개월 전
7,useryj1xu1th1g,언니 몸무계랑 키 저랑 똑같아요!!ㅎㅎ,1.0,8개월 전
8,pjh8553,정말 옷이 다 예쁜데 너무 비싸서 못사고있어여ㅠㅠ,0.0,7개월 전
9,lab2582,진짜옷사랑스럽게입는당,0.0,8개월 전(수정됨)
10,userwp9qt6nv5m,9번 코디 상하의 둘다 품절인건가요? 사이트에 없어서요ㅠㅠ,0.0,7개월 전
11,jjae,웅니 4번 코디 신발 어디껀지 알려주실 수 있나요!!🫶,0.0,8개월 전
12,bidaaahmed399,,1.0,8개월 전
13,userdn6dk9mc4m,이제 하비언니 아니잖아요,75.0,8개월 전
14,userio9fw5ch4q,머리 스타일링 방법 ㅈㄴ궁금해요,0.0,8개월 전
15,rarayang5708,"9번 바지 10086은 사이트에 데님만 있는데, 착용한것은 어두운것같은데 데님인건가요??",0.0,7개월 전
16,rarayang5708,쇼핑몰에 안나오는 것은 왜 그런가요!!?!,0.0,7개월 전
17,itsryn8078,"ideas for yellow outfit,,, please ",0.0,8개월 전
18,usereh1su5ys7k,언니 9번이랑 10번 옷 어디있나요ㅜ 저 오늘30만원 지르고왔는데ㅠㅠ 저옷은 안보이던데요ㅜㅠ,0.0,8개월 전
19,useroy6sp8gs4c,저 구두 대체 어디까에요ㅠㅠㅠ,0.0,8개월 전
20,rarayang5708,"1,2번 원피스 10067은 왜 없나용ㅠ",0.0,7개월 전
21,ssssookieessss,"1,2 착장 신발은 어디껀가요!?",0.0,8개월 전
22,MaMazk2qm,이언니 얼굴만 통통녀인데?,0.0,8개월 전
23,userrp2ld5fr5l,"3,4,5,6,7,8,9,11,12,14,16,17",0.0,8개월 전(수정됨)
24,userks9vl3iu1j,네?? 하비라고여???,0.0,7개월 전
25,akinuakinu2087,,0.0,8개월 전
