,youtube_id,comment,like_num,comment_date
0,userul7hz3ky5v,이 분 소개하시면서 계속 미소짓는게 정말 패션을 사랑하시는게 느껴짐,35.0,10개월 전
1,willfefaith,"설명 하실때마다 진짜 옷과 패션을 사랑하는게 느껴지네요. 같은 제리, 피어오브갓 덕후로서 참 재밌는 영상이네요",0.0,10개월 전
2,two5ten,"아디다스 후드 대박.. 뮬 2개에 반스콜라보 전부, 노랑이까지..
신발장만 봐도 얼마나 제리로렌조에 빠지셨는지 느껴지네요.
2편이 기대가 됩니다.",4.0,10개월 전
3,wang998,"진짜 저도 로렌조 팬인데, 로렌조가 입은 것들 하나하나 따라사고 스타일링도 따라하게 되더라구요 너무 공감됩니다 :)",0.0,10개월 전
4,Whateverspam,"진짜 되게 순박하게 옷 좋아하시고, 팬심이 엄청난게 느껴지네여",0.0,5개월 전
5,Mintothesu,진짜 제리 로렌조와 패션을 사랑하는 게 그냥 다 느껴지는 찐 행복 영상;;,0.0,6개월 전
6,jordan1aj786,예림파파 님 아니신가  국내 피오갓 원탑 맞으십니다 ㅎㅎ 피오갓 6th까지 미쳤을때 구매전  질문도 하고 그랬는데 ㅋㅋㅋ  여기서 보니까 반갑네요 :),2.0,10개월 전(수정됨)
7,userue1oq5hc5c,"진짜 비록 에어 피오갓 오트밀 신고 있지만 쌉걸작인건 인정합니다.
노란색이 너무 존예롭네요 ㅜㅜ",0.0,10개월 전
8,happa,2부 부터 말도 안되는 상품들 나오기 시작 합니다.!,9.0,10개월 전
9,dickimchi,굉장한 아이템 많네요!! ㅎ ㄷ ㄷ,1.0,10개월 전
10,userue3lq4kc1b,하빠님 입으신 니트랑 팬츠정보가 넘 궁금해요 구매처도 ㅠㅠ,1.0,10개월 전
11,yunhono4928,형님 목소리도 구수하고 좋네요ㅎㅎ,1.0,10개월 전
12,shywow7997,"와 내인친님 예림파파님 정말 국내 피오갓
넘버원이죠~~예림파파님 마켓 한번 열어주세용^^",0.0,9개월 전
13,chj950218,뭔가 호감상 아재시네... 곁에 두고 싶은 그런,2.0,10개월 전
14,usertv6us7cx4c,많이 정리하신게 저정도....ㄷㄷ,1.0,10개월 전
15,userpe1hs3gs9b,이분 옛날에 맨날 동타 1번잡으시고 출첵해주셨는데 ㅠㅠ혼자 고생하시고 남들 편하게 해주셨음,0.0,9개월 전
16,userkk1my6qq3b,신발보다는 의류가 진짜 궁금하다.,1.0,10개월 전
17,userjy4kc8di6q,뵌적있는데 그때 피오갓이 몬지도 모르다 이분때문에 알게 됨,0.0,10개월 전
18,uservx8zk9yq5w,와 전설의 예림파파님…,0.0,10개월 전
19,danchoi7240,That’s our bro wonseok hyung ,0.0,9개월 전
20,userrq9zn9pg3c,친구가 미래농원 ㄷㄷ 저기 커피시키면 30분은 넘게걸리던데 ㅋㅋ,1.0,10개월 전
21,openzym,인상이너무좋다 무슨일하시는분인가요,1.0,10개월 전
22,rovinsvlog6771,캬 나도 같고 싶다 ㅠㅠ 저 후디 ㅋㅋㅋ,0.0,10개월 전
23,userwr6bi8wf5t,아저씨 너무기여워요..유튜브하셈,1.0,10개월 전
24,palafed2428,입고계신 니트 정보 있을까요??,1.0,10개월 전
25,phj8146,"예림파파 님이시네요
몇년전에도 조던 구매하신다고 캠핑1.2번하시던..",0.0,10개월 전(수정됨)
26,ethicssocial583,진짜 어이가 없을정도로 입이 벌어지네요....,0.0,10개월 전
27,userdr1zk7wx5v,한국의 일론머스크,1.0,10개월 전
28,frogman286,발디다스 영상은 언제 올라오나요?,1.0,10개월 전
29,userlw1vb9bn8e,나오신분 팔찌 어디거에요,0.0,9개월 전
30,userjp2yi9vl6e,박호두인줄,3.0,10개월 전
31,userdm2uo5jn3v,레이드 f&f 첨봤다...,0.0,10개월 전
32,userde8zk6ni4b,1등!,0.0,10개월 전
33,msymsy9588,뻥태기형이야?,0.0,10개월 전
34,userrd7wy2rj6j,혹시 기독교인이신가요?,0.0,10개월 전
