,youtube_id,comment,like_num,comment_date
0,OFFREC,"하빠님과 너무즐겁게
촬영했습니다 부족한점 많지만 재밌게 봐주세요
재밌으셨다면 김기환의 대외비도 좋.댓.구.알부탁드립니다
하빠가미래다️‍아재도미래다️‍",11.0,2개월 전
1,seinpapa486,와 진짜 설명 잘해주시네요~ 다음편도 기대됩니다,1.0,2개월 전
2,,우와... 저는 어설프게 패션을 좋아하는데.. 오늘 내용 너무너무 재밌어요!!! 앞으로도 기대기대합니다!!,0.0,2개월 전
3,userzd8im1zl3w,아 말씀 넘 재밌게 잘하시네요^^패션에 대한 유익한 시간이었습니다 감사합니다^^,3.0,2개월 전
4,Mintothesu,기환님 텐션이 ㅋㅋㅋㅋㅋ 넘 재밌네요 하빠님이 소개해주는 국내브랜드라 두근두근,0.0,1개월 전
5,juunoiem,"기환님 바로 구독 박았습니다 ...
이런말하긴 뭐하지만 썰 풀어주시는거 개재밌네요",1.0,2개월 전
6,zazzalo,5개 시간표로 나눠주셨으면 좋겠네요. 아니면 화면에 작게 어떤 브랜드를 얘기하고있는지 써주면 더 도움이 될거같아요,8.0,2개월 전
7,jihoonlee4535,기환님 매력에 빠져서 바로 구독 갑니다,1.0,2개월 전
8,Taelim67,설명 너무 잘해주시네요~,0.0,1개월 전
9,userkw1iu3si9m,왜 도메스틱 브랜드의 디자인이나 제작 방식에 기시감이 느껴질까...,5.0,2개월 전(수정됨)
10,kangaroozz,국내브랜드 추천 감사합니다ㅎㅎ,1.0,2개월 전
11,userfl4wd6py6d,국내브랜드들 요새 폼 너무좋아여!,1.0,2개월 전
12,userrd3xc7sp4f,패션 지식이 추가 되는 그런 영상,2.0,2개월 전
13,userpv3sv7we5j,이렇게 알고 구매하면 더 재미있는 옷^^,0.0,2개월 전
14,usertg5rx5fc7u,좋은정보감사합니다!,1.0,2개월 전
15,hotdogwoo,매번 감사해요~,1.0,2개월 전
16,usereh4je5kr3t,말을 넘 잘하시네요 꿀잼!!,1.0,2개월 전
17,uservf1wr4iw1o,지용킴 돈만 많으면 사고싶다,1.0,2개월 전
18,EricTheodoreCartman,파프랑 지용킴은 이미 유명한디 ㅜㅜ,2.0,2개월 전
19,xxpark,정국 seven 뮤비의 정국씨와 한소희씨의 코디가 화제가 되고있는데 혹시 코디에서 어떤 옷들이 사용되었는지 알아봐주실 수 있나요 ???,1.0,2개월 전
20,rafsimons1565,지용킴 옷에 관심이 가네요,1.0,2개월 전
21,hbhan6034,8:23 에 나오는 디자이너 사진은 지용킴님 아닌 준태킴님 사진입니다!,1.0,2개월 전
22,Gilchive,지용킴 소개할때 김지용디자이너 말고 김준태 디자이너 사진 들어간거 같은데..,1.0,2개월 전
23,luxvenykim,은혜받고 갑니데이~~,0.0,1개월 전
24,HWKIMTV,8:22 디자이너 사진 지용킴 아니고 준태킴님입니다!,1.0,2개월 전
25,userms8hq7xs1c,파프는 어디서구매되나요,0.0,2개월 전
26,tjdruddhkd,3:55 민동준 (X) -> 임동준 (O) 대표님 오타 있네요!,0.0,1개월 전
27,blueworks5702,편집하시는 분이 패션을 잘 모르시는듯... 임동준씨를 민동준씨라고 하질 않나... 다잉(Dyeing)을 다림이라고 하질 않나... 이에이를 이예이라고 하질 않나...,0.0,1개월 전
28,sancrested8701,1빠아아아아아,1.0,2개월 전
29,userxp9ps6ik9p,4빠아아,2.0,2개월 전
30,healerlee8905,2빠하빠,1.0,2개월 전
