,youtube_id,comment,like_num,comment_date
0,usernk6sz9xu2w,"아니 해딩님 취향이 아닌게 없는 룩북이라니 너무 감사합니다
진짜 옷 다 따라시고 싶어여
특히 니트 하울인데 바지가 예쁜 게 넘 많아요!!!",0.0,7개월 전(수정됨)
1,usersm4vc8uj8p,8번 니트 조끼 보자마자 장바구니에 담았어요 ..🥹 해딩님 톤온톤 코디 최고에요 🫶🫶 이번 영상도 잘 보고 가요 ~~!,1.0,8개월 전
2,usertw9nf2sd8k,옷들은 데일리한 느낌인데 코디가 힙해서 시도해보기 좋아서 룩북 좋아해요!,0.0,7개월 전
3,userue1sw7ss1b,"저는 6번째 룩이 원픽입니다
다 잘어울리는 멋찐 해딩님
영상 잘보고있어요",0.0,8개월 전(수정됨)
4,pposongpowerr,4번룩에서 혹시 입고계신 폴라티 정보도 알 수 있을까요?!,0.0,8개월 전
5,Moonsw1hv,너무 옷 다 찰떡이네요 구독하고 갑니다 폰 케이스는 어디 제품인지요? 예쁘네요,0.0,7개월 전
6,userrl8in6hi6c,혹시 3번 코디 데님은 어딘껀가용??,0.0,8개월 전
7,amykim8912,해딩님! 8번룩 치마 링크가 잘못걸린것 같아요...!,0.0,8개월 전
8,ljy173000,Spao도 한번 들러주실 수 있나요,0.0,7개월 전
9,saerom6484,그독해써요~~~ 아이폰과 스튜디오에서 찍으시는거에요? 느낌이 조으세요,0.0,7개월 전
