,youtube_id,comment,like_num,comment_date
0,userjy7ux6ed8f,"헤딩님 진짜 제가 본 패션 유튜브, 인스타그램 중에 제일 유니크하면서도 난해하지 않고 차분한데 색감도 잘 쓰고 암튼 제일 잘입으세요… 언니 완전 제 워너비 ㅠ 최고",8.0,1년 전
1,2day55td,목소리가 너무 좋으셔서 룩 보는 것 뿐만 아니라 힐링도 됩니다️ 영상 감사합니다!!,1.0,1년 전
2,YasminDan,amazing haul!,0.0,1년 전
3,seyounette557,다음주에 한국 가는데 진짜 꼭 필요한 영상이에요️ 다 사고싶어요️해딩님 감각 최고 ,0.0,1년 전(수정됨)
4,HH99,요새 바빠서 눈팅만 하고 댓을 못 달았네요 역시 해딩님 룩북은 항상 예쁩니다ㅠㅡㅠ,0.0,1년 전
5,hershemoonstick,가을엔 니트라는게 국룰같은 느낌 :>,0.0,1년 전
6,TheLeeyunju,첫번째룩 가디건 링크 다른것같아요>.< 항상 덕분에 예쁜옷 잘알아가용,0.0,1년 전(수정됨)
7,userug5xz9ul9j,혹시 3번 룩 니트 가디건 해당 사이즈가 품절이라 구매할 수가 없는데 헤딩님이 말씀해주신 유사 쇼핑몰 제품 정보도 알 수 있을까요 ?!?,0.0,11개월 전
8,userwe2oo9wx5p,룩 5번 가디건 정보 log가디건 링크로 되어itsoyo!,0.0,1년 전
9,smj82,H&M 메쉬 미니 스커트 사이즈 알 수 있을까요 ?!,0.0,3개월 전
10,useruc8ui1md9h,자라 롱부츠 사이즈 뭐하셨나요?̊̈?̊̈ 고민중이예요..,0.0,11개월 전
11,chatterlynn1583,해딩님 저 해딩님따라 드래곤블루스바지사버렸어욬ㅋㅋㅋ뮤트블루 그 바지 마니마니 출연시켜주세요,0.0,1년 전
12,kimhee4187,몸매가 다하신듯해요 보면 막 따라입고 싶은데 제가 입으면 핏이 우메 넘 달라용,0.0,11개월 전
13,annielim8012,혹시 리바이스 501 은 어떤 거 착용하신 지 여쭤볼 수있을까요 ?!,0.0,11개월 전
