,youtube_id,comment,like_num,comment_date
0,realsistermyjo,"[TEDDY BLAKE X 현실언니]

Click Here&Shop
https://teddyblakestore.myshopify.com/?rfsn=6689739.cee55fc

Sale Code : TBMinyoung30 ($30 할인)",0.0,2개월 전
1,sooyeonlee2647,테디블레이크 정식런칭할때 현실언니를 모델로 써야할듯요! ㅋㅋㅋㅋ 켈리백같아요! 고급스러워요,2.0,1년 전
2,BORAJEON88,"여행 다녀오느냐고 언니영상 이제 봤네용 ㅠ
너무 기다렸어요 !!! 
두번째 협찬 축하드려요 !!!
룩3에 민소매 티셔츠, 캐시미어 가디건, 슬랙스 어디제품이예요 ?? 딱 제스타일이예요 !!! 띠요요용!!",0.0,1년 전
3,useryo8dd6xk3z,온니 가방 이뻐욬,2.0,1년 전
4,qwerez9vs,피부관리컨텐츠해주세요ㅠㅠㅠㅠ피부너무좋고예쁘심,1.0,1년 전
5,Bitedoughnut,현실언니 제가너무 오랜만에 왔네요 ㅋㅋ 저 밍밍밍구에요 ㅋㅋ 안 본 사이에 가방모델도 되시고 핫하네용 테디블레이크 가방 이뿌네용 ㅎ 갖고 싶네용~!,0.0,1년 전
6,wooseokhan8296,반갑네요 ㅎㅎ,0.0,1년 전
7,usernj2yk1uy7e,수블리 고가세럼 너무 궁금해요,1.0,10개월 전
8,userji5ww1vo4f,Look2에 화이트 셔츠는 어디꺼에요? 넘 예쁘네영,2.0,1년 전(수정됨)
9,userez6cy4bj6r,,2.0,1년 전
10,userpj7ts2dg5q,다리 정말 길고 예쁘세요,3.0,1년 전
