,youtube_id,comment,like_num,comment_date
0,soniaerika7619,My fav YouTubers. Always Gain a lot of energy and productivity by just only watching ur Videos ,1.0,7개월 전
1,aiotc,"Really, when I see my videos, I feel positive energy ",1.0,7개월 전
2,synthiaestefanysalazarmeji2850,"Me gusta tus videos, ",0.0,2주 전
3,i0048,수정화장 하실 때 쓰신 쿠션 제품이 뭘까용..?🫢️‍,2.0,5개월 전
4,userob3pp1kb8x,상의정보 알려주세용 이뻐용,0.0,6개월 전
5,mohammadareebshah8719,"Omg im soo early i can't belive 
Btw Love your vlogs ♡",3.0,7개월 전
6,soobtudio,자주 와주세요 혜봉님,1.0,7개월 전
7,usergu5ik7pg1k,가방 정보 알수잇을까영,0.0,6개월 전
8,useryw9xo8ob9l,언닝 케이스 정보 알 수 있나욤,2.0,7개월 전
9,exctasyxxx8541,믿고 샀는데 ㅈㄴ 낚임..개짜증나네 엄지렐라닮ㅇ 여러분 속지마세요,0.0,3개월 전(수정됨)
