,youtube_id,comment,like_num,comment_date
0,hosu,"코디만 봐도 도움 되도록 정말 다양하게 매치해봤어요~~
-
(코디 U 라인 풀착, 바지는 샘플이라 2 사이즈 큽니다 오버 기장 참고!)
-
유니 공홈: https://store-kr.uniqlo.com/display/displayShop.lecs?storeNo=83&siteNo=50706&displayNo=NQ1A01A09A37
-
추가로 궁금한점 댓글 남겨주세요~ 시청 감사합니다",22.0,7개월 전(수정됨)
1,bdnine683,아이템부터 코디까지 놓칠 1초가 없는 영상..! 유니클로u 호수님의 리뷰가 필요했는데 너무 잘 보고 가요 ㅎㅎ,10.0,7개월 전
2,goddog2981,"진짜 실전에 유용한 유튜버
정녕 저게 내가 산 제품과 같은 제품인지 의심이 들 정도로 색감 핏 모두 완벽함",16.0,7개월 전
3,usercb8kt3pk2g,"안 그래도 오늘 사러 가려고 하다보니, 호수님 유니클로 U 픽이 궁금했는데 영상이 이렇게 바로 나왔네요!

덕분에 추가로 사야할 게 늘어난 기분이라 좋기도 하고 지갑 사정에 슬프기도 합니다

오늘 영상도 재밌게 잘 봤고, 좋은 영상 항상 감사합니다~

+호수님 스튜디오 니콜슨 레인 버킷 햇이 마음에 들어서 구매하려하는데, 1개만 구매한다면 세이지와 다크 네이비 중 색상 하나만 추천 부탁드려도 될까요?",2.0,7개월 전
4,cyanbox2565,"와 ㅜㅜ 나온지 얼마 됐다고 벌써 품절인 제품이 몇몇 있네요,,,이번에도 영상 잘 봤습니다!!",5.0,7개월 전
5,userqe1ou5cz1b,유니U  호수님 영상 기대 많이했는데 완전 감사합니다...! 오늘 6시 퇴근하고 바로 유니 가서 추천해주신 템들 입어봐야겠어요!  ㅎㅎㅎ 항상 영상 올라오는 거 잘 보고 있어요 행복하세여,2.0,7개월 전(수정됨)
6,userrd8fx3fv2x,유니클로만으로 이정도 감도의 코디가 가능하구나… 뭔가 오랜만에 새로운 충격이네,3.0,7개월 전
7,somsomeee,이번 유니클로 진짜 셋업컬러감이 미쳤네요...,3.0,7개월 전
8,useroc8rn9gn6g,"와 제가 미니멀이 안어울려서 안입는데
이 코디들 다 넘 이쁘네요... 갓니클로",2.0,7개월 전
9,solf9673,"오늘도 영상 잘 봤습니다! 
니트 카라티랑 특히 바지 이쁜게 진짜 많네요!!
안그래도 바지 고민중이었는데 U라인도 참고할게요 :) 감사합니당 ",1.0,7개월 전
10,userwd5ni4in7v,구독 박았습니다. 제일 깔끔하게 잘 설명해주셔서  쏙쏙 들어오네요 이번 유니클로 U라인 가성비도 미치고 스타일도 미친것같네요,1.0,7개월 전
11,Minwha,항상 느끼는 거지만 유니u는 색감이 미친거같아요... 분명 spa인데 디자이너 브랜드에서 느껴지는 컬러감이...,0.0,7개월 전
12,userwn5xj3qe3s,진짜 믿고보는 호수님 리뷰입니다. 오늘 바로 달려가서 카드 슬래쉬 할예정,2.0,7개월 전(수정됨)
13,userze2zo5vy1v,항상 믿고 보는 호수님 영상  요즘 업로드 많이 해주셔서 너무 좋아요~,1.0,7개월 전
14,messierkwon,"오늘 턱치노랑, 릴렉스 핏 브라운 진 샀는데 진짜 너무 잘나온 것 같아용!
자켓은 숏자켓이 제일 예쁜 것 같고 
브이넥 니트 진짜 왕왕 예쁩니다.

추가로 버킷햇 사이즈도 널널하고 색감도 좋아서 구매했네요!",1.0,7개월 전
15,usermh6xl5jt3x,저번 가을?겨울 U라인도 좋았는데 이번에도 다 이쁜것같아요,1.0,7개월 전
16,userbz1do4mz3q,스펙이 좋으셔서 뭐든 잘어울리셔요 ^^ 레인코트가 개인적으로는 맘에 드네요,2.0,7개월 전
17,kkong7,호수님의 원브랜드 추천 영상은 깊이감 있어요!! 너무 유익한 영상 감사합니다🫠,0.0,7개월 전
18,userpt3im9oq7t,영상 너무 잘 봤어요 이번에도 여지없이 구매하러 가야겠군요..! 감사합니다!5:24 안에 입은 셔츠 정보 궁금합니다!,1.0,7개월 전
19,hubteebroda,U라인 가성비 + 감성 대체불가,1.0,2개월 전
20,seolionel4025,다른 유튜버들이랑 다르게 직접 입어주는거 최고네..,2.0,7개월 전
21,Lilzino47,내일 바로 달려가보려 합니다 ㅎㅎ 미리 살펴보긴 했지만 꿀템 정리 감사합니다 ! 코디도 훔쳐가겠습니다..ㅎㅎ,2.0,7개월 전
22,userhf4pl9cv4g,코디가 미쳤다… 룩북보다 더나은 매치… 눈호강했슴돠.. 감삼당,2.0,7개월 전
23,goodgood8483,"이거보고 인정하고 구독했습니다. 
리뷰 너무 좋습니다.",0.0,6개월 전(수정됨)
24,yeoncheollee6467,어제 오버 유틸리티 재킷 핑크 입어봤는데 진짜 잘 만들었다고 생각되네요 ㅎㅎ,0.0,6개월 전
