,youtube_id,comment,like_num,comment_date
0,user24829,"저는 갈색병은 안맞았는데, 보라색병은 샘플써보고 너무 좋아서 2통째 씁니다! 
겨울만되면 건조해서 단순히 보습크림만 덧발랏는데.. 그 느낌 아실분은 아실거예요. 크림때문에 겉은 광이 미친듯이 도는데, 속은 여전히 당기는느낌... 이 에센스 쓰고는 신기하게 그 느낌이 사라지더라구요.
영상 잘 봤습니다! 감사합니다",25.0,8개월 전
1,ShadowingEnglishzz5lm,"쭉 에스띠로더만 써서 다른건 모르겠는데요, 슬픈건 2,30대땐 뭐가 좋은지 모르겠더니 40대 넘어가니 피부가 쫀쫀해지는게 체감되더라고요. 몰랐을때가 더 좋은 시절이었음을 지나고 나서야 깨닫고 슬프게 씁니다 ㅠㅠ",19.0,7개월 전
2,userhn1lx5dh8y,기술력이 정말 중요합니다 같은성분이라도 어찌 배합하는지 하나하나 다 기술이죠><,2.0,2주 전
3,terryjung5787,"20대 중반에 미샤 보라병이 좋다는 소문을 듣고 보라병을 한참 발랐는데 피부가 빨대지더라구요... 그때보다 보라병이 개선 됐겠지만 그 이후로 저려미 화장품을 못씁니다
갈색병은 제 피부에 잘맞네요

좋은영상 감사합니다.",2.0,1개월 전
4,usersb2bv2qi6e,"수부지 피부
 좁쌀여드름이 있는 민감성 피부입니다.
갈색병9년째 쓰고 있는 중입니다.
진정 보습효과는 탁월한것같습니다.",2.0,7개월 전
5,aechaarroyo7744,미국에 40 년 살면서 Estee Lauder 구입을 쉽게 할수 있어 때때로 도전 해보았지만 제 피부와는 전혀 맞지 않습니다. 지난 크리스마스 때에도 갈색병 세트 세일해서 혹시나 해서 구입해 사용하고 피부의 건조와 홍역 같이 빨간 트러블이 일어나 다 반납했습니다. 보라색 구입해 사용해보려 합니다. 좋은 정보 매우 감사합니다.,4.0,5개월 전(수정됨)
6,nayounglee9353,"저는 둘다 써본 입장에서 
갈색병이 더 좋았던거같아요 플라시보그런거 아니구 갈색병 쓰고 다음날 피부가 .. 그리고 화장 할 때 스킨케어단계에 바르고 파운데이션에 소량 섞어바르면 피부 표현이 진짜.. 말모에요 
흡수도 빠르구요 
근데 보라색앰플은 뭔가 겉도는 느낌을 많이 받았어요 피부가 흡수하는게 좀 많이 느리다..? 기술적으로도 분자량이 갈색병이 더 작다고 느껴질만큼(흡수가 빠르고 겉돌지않음) 느껴지더라구요 
구리구 보라색 앰플 바르고 며칠뒤에 트러블 생겼어요.. 화장품 안맞으면 생기는 그런 트러블..  그래서 보라색앰플 일주일 쓰다가 다시 갈색병으로 돌아왔네요
성분이 같고 비슷하다고 해서 본연의 효과나 기술은 따라가지 못하는거같아요 
물론 갈색병이 더 비싸긴 하지만 저는 앰플의 역사가 깊은 많큼 에스티로더의 기술력을 생각해서 쓰고있습니다.",5.0,6개월 전
7,userxo8pk5ed8s,오브베이스 크림과 라메르 크림도 한번 비교부탁드려요. 이또한 라메르 저렴이로 나왔거든요.,7.0,8개월 전
8,usernh7cg5ss1r,성분 못지 않게 기술력이 중요합니다.,2.0,2개월 전(수정됨)
9,myongbobzien9238,Estee Lauder Advanced Night Repair Serum 을 20년 넘게 사용하고 있는데 저 한테는 참 좋은 제품 입니다.,2.0,7개월 전
