,youtube_id,comment,like_num,comment_date
0,MyBooCosplay,"평소에 즐겨보던 회사원A님 함께 콜라보 하게되어 정말 영광이었습니다~!
코스프레도 찰떡같이 잘 어울리셔서 메이크업 해드린 보람이 있었어요~
다음에 다른 코스프레도 또 해주세요~!ㅎㅎ",1.0,4개월 전
1,Alreadymiaa,"다른사람 얼굴에 메이크업 해주는거 어려운데 확실히 미적감각을 타고난 사람은 다르네요..
회사원님 이번 메이크업이 너무 잘 어울리세요 인터뷰질문들도 부드럽고 편안해요",357.0,4개월 전
2,soyeonkim8494,진짜 회사원님의 기획력의 끝은? 매번 영상볼때마다 아이디어도 대단하고 같이 소개시켜주시는 분들도 다 멋있고 새로운 분들이라 매번 영상보면서 제 세계가 넓어지는 기분이 들어요!! 매번 이런 고퀄의 영상 감사해요!!,236.0,4개월 전
3,userrs8xe4fe2w,멋진 여자들의 조합 최고야,698.0,4개월 전
4,dreamingnight,와 회사원님 눈도 크시구 이국적인 이목구비라서 코스프레도 찰떡같은데요??? 다른 코스프레 메이크업도 궁금할지경...  두분 모두 넘나 멋지셔요,159.0,4개월 전
5,LunaJung,메이크업만이 아니라 옷이며 기기들을 다 직접 제작하신다는게 진짜 대단하다;;; 와...,6.0,3개월 전
6,lsun9216,"헐 ㅠㅠ 마이부님 회사원님 두분 조합 너무 좋아요 
 조곤조곤 말씀하시는 거 너무 매력있엉
편한 동네언니& 우아한 언니  조합 너무 좋음",181.0,4개월 전(수정됨)
7,jjjeeehhh615,"13:28 카라 안쪽에서 무지개 불빛이
나오네요.. 와..... 진짜 신기하다 얼마나 코스프레에 진심이고 프로의식을 가지고 계시는지 느껴지는 옷입니다",94.0,4개월 전
8,jin952,"저 그 동아리 후배인데...마이부 님 졸업하시고 나서(2년 후) 그 부 전체가 사라졌어요...ㅋㅋ
회사원님 영상 잘 보고 있어서 들어왔다가 마이부 님 보고 너무 신기해서 댓글 남겨봐요
그때도 왠지 모를 포스가 있으셨는데 멋지게 살고 계시네요ㅋㅋ응원할게요
언젠가 해주실 회사원님 다른 코스프레도 기대하겠습니다:)",14.0,4개월 전(수정됨)
9,Bulldiya,회사원님 영상 왤케 편안하지…… 모든 컨텐츠가 다 힐링이고 편안하고 회사원님 목소리도 좋고 일본어 컨텐츠 할때도 넘 편안하고 거의 내 asmr 채널이에요,18.0,4개월 전
10,mongnyalove,와 마이부님이랑 같이 촬영하시는 날이 오실줄이야 ㅋㅋㅋ 예전에 회산원님 코스프레 영상을 보고 들어왔는데 이게 이렇게 두분이서 촬영한 영상을 보니 뭔가 너무 좋네요. 뭐라고 설명할 수 없는 기분이에요 ㅋㅋㅋ,45.0,4개월 전
11,useroy8cu5nv5b,회사원님 원래 눈도 왕방울인데 스모키까지 하니까 진짜 만화같아여 잘어울린다,22.0,4개월 전
12,quokkasmile,마이부님 실력도 너무 좋으신데 목소리가 asmr최적화 목소리에요..마음이 편안해집니다ㅋㅋㅋ,87.0,4개월 전(수정됨)
13,userxm1fk3jc1g,"썸네일 보고 멋있다고 생각했는데 영상으로 보니까 완전 존멋이에요~♡♡
회사원님 숏컷 너무 잘 어울리세요bb",22.0,4개월 전
14,userwk1df5pd7x,회사원님 기획력에 항상 놀라게 되네여 좋은 영상 감사합니다,23.0,4개월 전
15,userde7ft3iv9k,아니근데전부다진짜너무짱인데 회사원님 궁금한질문들만 콕꼭찝어서너무잘진행해주시네요 진짜능력자,0.0,1개월 전
16,s2muyo2,코스프레.. 한번 빠지면 정말 헤어나오기 힘들죠 회사원님 채널에서 코스프레를 만나게될줄은 몰랐는데 너무 재밌게 봤어요~,15.0,4개월 전
17,mantotheman,"회사원님 너무 예뻐요 코스프레도 
참 잘 어울리시네요!!",6.0,4개월 전
18,light12,마이부님 눈웃음이 진짜 넘 이쁘시다....,20.0,4개월 전
19,xxhb1cp,와 회사원님 진짜 게임캐릭터 같아요 너무 잘어울려요!!!,14.0,4개월 전
20,userhq3it7rp9e,와 화장 진짜 찰떡이다... 너무 너무 잘 어울려서 놀랐어요... 대박...,8.0,4개월 전
21,fragrancenomad,우와  회사원님 덕분에 코스프레 관련 분에 대해서도 알게되네요,0.0,4개월 전
22,miyeonsos,와 저 분 코스프레 메이크업 영상 몇개만 봤는데 평범하게 메컵 하시니까 진짜 아름다우시네요...,0.0,3개월 전
23,blueflower43,오옷 회사원님 오늘 코스프레 진짜 잘 어울려요!,11.0,4개월 전
24,silcos,"이럴수가 프로 코스어의 코스프레 메이크업 영상이라니 바로 링크 저장 갑니다ㅠㅠㅜ 
코스어로서 두 분 콜라보는 너무나 해피하네요
좋은 영상 감사합니다!!️️️",5.0,4개월 전(수정됨)
25,juneryu1946,진짜 멋져요 와우 돌아온 회사원님의 오타쿠 자아와 코스프레계의 거성...,17.0,4개월 전
26,krk2bx,와 코스를 떠나서 메컵자체가 너무 잘어울림,1.0,3개월 전
27,love7peace211,회사원님 완전 신나보이셔요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하 두분다 너무 멋지심 ㅜㅜㅜㅜ,0.0,4개월 전
28,lala4431,마이부님 설명해주시는 목소리가 넘 조곤조곤 좋아요 .. 최고 🥹,0.0,3개월 전
29,userdb5of4sf9e,1:29 자막 보고서 아니 잠깐 게임 영상이 아니라고??? 하면서 다시 돌려봤어요 진짜 대박이다,74.0,4개월 전
30,userje2nj1gz9p,워... 메이크업 진짜 잘하시고 단발 찰떡 자르셔도 될 듯 !!,0.0,3개월 전
31,Loveimichael,눈나 이거 제발 2탄 또 해주어 ️️️,12.0,4개월 전
32,userkkkkbb,회사원님 너무 예쁘다 진짜 섹시스탈 잘어울리세요,1.0,4개월 전
33,userzy4uu8xs5x,회사원님 질문들이 너무 좋은 것같아요~재밋게 봤어요,0.0,4개월 전
34,userne3yz3nq7z,ㅠㅠㅠ열정 너무 멋있어요! 두분 다 앞으로 너무 기대하고 항상 응원할께요 좋은 영상 감사합니다!!!,3.0,4개월 전
35,gsimi9304,약간 회사원님 평소 블링블링 꽃 프릴 뿜뿜 한 스타일이 별로 취향이 아니여서 늘 스타일이 아쉽다고 생각되었는데 이런 화려하지만 시크한 스타일이 더 잘 어울리시네요. 의외로 도시적 세련세련으로 가시는게 더 이쁘신거 같아요!!,9.0,4개월 전
36,ohyeaaah,와 생각도 못한 컨텐츠도 대박이고 마이부님이 진짜 대에에에박 이네요 멋있어여,11.0,4개월 전
37,alcoholism6595,다른 코스한것도 보고싶당 ㅋㅋ 둘이 콜라보 또해주세요!!,1.0,4개월 전
38,hunjung5797,마이부님 처음 뵙는데 목소리가 조곤조곤해서 듣기 너무 좋네요,13.0,4개월 전
39,S0745,"오우 잘어울려요
구독하는 유튜버인데 회사원님채널에서보니 더 반갑네요ㅎ",3.0,4개월 전
