,youtube_id,comment,like_num,comment_date
0,kmpp6yj,"헉 저 피부에 비닐 씌운 거 같은 버석거림. 저도 똑같이 뒤집어진 경험이 있어 기억 소환하네요.
회사 스트레스+집안 스트레스+독립과 이사, 실연 등등 인생 최고 암울하고 스트레스 받은 시기에 회사원님하고 똑같은 증상으로 피부 뒤집어져서 자발적으로 피부과 처음 갔던 경험이..
그때 수백은 쓴 거 같아요ㅎㅎㅎ..
피부 복구하는데 정말 긴 시간이 걸렸네요.",38.0,1년 전
1,userui3nx5tu3t,언니랑 비슷한 건성+아토피 피분데 트러블이 잘 안 올라오는데 저도 한 2주전부터 확 뒤집어졌는데 물 바뀐거 외에는 거의 똑같은 환경에 노출 됐는데 그래서 그랬군요ㅠㅠ 저도 열심히 수분 관리 해주니까 좀 나아지더라고요ㅠㅠ 저두 따라해보면 좋을 거 같아요 좋은 영상 감사해요,32.0,1년 전
2,congsooni6922,"저는 회사원님과 비슷한 피부였거든요. 저의 문제는 새집증후군 이였습니다.. 이사까지 할정도로 심각했어요. 전신에 아토피가 올라와서 몇년이 지났지만 심각했던 부분에 아직 착색된 자국이 남았어요 
그래서 회사원님 영상볼때마다 주변환경이 문제있는건 아닌지 걱정되더라구요..

사람마다 다르겠지만 저는 스킨을 아주아주아주 많이많이많이 바릅니다!!! 온몸에 다 발라요!!! 피부가 너무너무너무 건조하니까 고영양로션 꾸덕한크림은 흡수를 못하더라구요…
지금은 저보고 피부 너무좋다 뭐쓰냐 물어보는사람이 많을정도로 피부가 좋아졌어요. 회사원님도 얼른 피부회복하시길 바랍니다!!",21.0,1년 전(수정됨)
3,uservp8rm9cu4d,떠히언니 이렇게 열심히 써주는데 광고주들이 진짜 좋아하실듯ㅎㅎ,4.0,1년 전
4,userbl7qo3ke6p,"저도 양산+ 팔토시 + 모자 3종 세트 하고 이탈리아 갔는데 진짜 화상입을 정도로 데여서 등 벅벅 건조하고,, 가득이나 아토피 피분데 ㅜㅜ 회사원님처럼 비슷하게 유리아쥬 재생크림을 팩하듯이 덮고 모델링 팩 벌크로 사면 1년을 쓰는데 처음으로 그걸 한달만에 다 썼어요.. 온 가족 등짝에 알로에 올리고 모델링 팩 올리고.. 근데도 건조했어서 오일까지 쳐발했는데도 몇시간 지나면 증발해서 너무 황당했었거든요 그게 탈수증상이었군요 ㅜㅜ",23.0,1년 전
5,jihoon8059,회사원님의 미국 콘텐츠을 위한 자금을 마련해준 LG프라엘 감사합니다 부모님 선물해드리기 딱 좋네요,26.0,1년 전
6,cocomo6242,"일단 물이 진짜 중요한 것 같고, 꾸준히 홈케어하신게 빛을 발하신듯 ╰(*°▽°*)╯인텐시브 멀티케어 뽐뿌오네요 특히 쿨링기능..",1.0,11개월 전
7,doyaaaaaa,"저는 오랫동안 미국에서 거주 했는데 한국 오자마자 트러블 폭발하더니 한국 생활 3년째 되는 지금 까지 여드름관리를 하고 있는 상태네요ㅠㅠㅠ 미국은 덥지만 건조해서 그런지 그런 환경에 적응 되어있던 상태에서 안그래도 초민감피부인데 미국보다 배로 습한 한국 환경이 너무너무 안맞나봐요ㅠㅠㅠㅠ 한국 물이 좋다해도 적응하는데 엄청 뒤집어지고 그랬습니당,, 회사원님 고생하신거 너무 공감하구 가용",20.0,1년 전
8,jungokkim8138,"회사원님 요즘 자주 보진않는데 피부가 저랑 비슷하시네요 ㅠㅠ  gigi라고 일부 에스테틱샵에서 쓰는 살롱코스메틱있는데 거기 리커버리라인 예민 홍조 진정에 좋아요 마스크팩 추천해요
풀라인으로 쓰면 좋겠지만 이스라엘제품이고 한국에서는 취급을 안해서 구하기 어려우시겠지만 미국 자주 가시는 회사원님이시라 쉽게 구하실 수 있으실거예요",1.0,11개월 전(수정됨)
9,naraejeon4314,저 회사원님이 다녀오신 그 동네에 살고 있는데 그 영상 보고 엄청 걱정했어요 ㅋ 피부 뒤집어 질 수 있는 환경이어서 그래도 엘지제품 사용하시고 좋아지시는 거 같아 좋네요 ,4.0,1년 전
