,youtube_id,comment,like_num,comment_date
0,hyojin94517,"샬롯틸버리 블러셔 드디어한국에도 오픈합니다️️️️ 얼른 보러오세요!!!!!!


- SET1: https://brand.naver.com/charlottetilbury/products/7980797523

- SET2: https://brand.naver.com/charlottetilbury/products/8014172424",202.0,7개월 전
1,iiyagi,"와 언니 진짜 슈스고 대단하다. 맨날 '올해까지만 해야지'라고 생각한다 하셨지만, 유튜브 접을 생각은 추호도 하지 마세요. 유튜브도 하면서 하고 싶은 거 있으면 다 하세요. 싸랑해 조효진️️️️️",533.0,7개월 전
2,uservj8ki2xy4q,"와 대학교 시험기간 븨로그부터 봤는데 돌아보면 그때보다 엄청 성장하신 것 같아서 감탄했어요. 새로운 환경에 놓이고 또 새로운 도전을 하고 같은 분야에서도 무언가를 여러가지 시도하는게 쉽지 않은 일인데 이미 이뤄둔 것에 정체하지 않고 계속 이것저것 시도하시고 나아가시는 모습이 존경스럽고, 같은 업계는 아니지만 그 자세만큼은 꼭 배우고 싶네요. 전부터 지금까지, 항상 응원하고 있습니다! 앞으로의 영국 이야기,블러셔도 기대하고 있을게유ㅎㅎ 지성이고 맨날 파우더만 썼는데 나스를 졸업할 때가 되엇는가...",139.0,7개월 전(수정됨)
3,stayaroha4968,"i’m incredibly proud of you Hyojin unnie
i remember seeing your true beauty makeover, and ever since that video, i’ve been obsessed with K-Beauty 
i can’t believe your going places like new york and to THE Charlotte Tilbury! 
i hope you get many blessings for your future and present ️️️️",12.0,7개월 전
4,kelfin3968,"진짜 대단하시네요!
타지에서 외국언어인 영어로 일하면 힘들텐데 
매출 1위라니 노력이 빛나 보입니다",97.0,7개월 전
5,userhinghanghung,언니 정말 너무 멋져요!ㅜㅜ 요즘 영어랑 권태기였는데 언니 영상 보고 다시 도전하고 싶어졌어요! 정말 감사해요 언니의 새로운 길도 응원해요! 우리 같이 파이팅!!!!!!!!!!!!!!!!!!!,8.0,7개월 전
6,hjpi3wv,"효진님 너무 멋있어요 저는 주부여서 효진님보며 대리만족하고 있어요~ 본인이 좋아하는 일을 하며 활약하시는 모습보며 많은 자극이 돼요! 많이 배우고 있어요, 건강 조심하시고 다음 영상 기다릴게요",40.0,7개월 전
7,Keliejk3uu,언니 저는 예전부터 영어도 싫어했고 관심도 없었는데 언니 어학연수 영상보면서 꿈이 생겼어요!! 그래서 과외도 다니기 시작했고 맨날 8시간씩 영어공부하면서 미국 어학연수 준비중이에요! 항상 좋은 영상 만들어 줘서 고마워요,47.0,7개월 전
8,userti7gs8vo9w,효진님 너무 멋있으세요..진짜 응원합니다 앞으로도 하시는 일 다 잘되시길!!,15.0,7개월 전
9,suzinchoi7845,조효진 옛날부터 몇년전부터 쭉 구독해왔는데 멋지게 성장하고 멋진 모습 보여주고 즐겁게 잘 지내며 멋진 일 해나가는것 보니까 많이 성장한것같고 너무 보기좋네요~^^ 앞으로도 더욱 멋지게 성장하는 모습이 되었음 해요 정말정말 응원합니다!!♡♡,10.0,7개월 전
10,nametq1dk,"아니 두 분 목소리도 뭔가 비슷하고 똑같은 사투리까지 하시고ㅋㅋㅋㅋㅋ 성격도 비슷해보이셔서 재밌고 웃겨요ㅎㅎ 그리고 언니 단순히 샬롯 틸버리에 스카웃 돼서 멋있는 걸 뛰어넘어서, 멋지게 또 한 번 성장하신 것 같아서 더 멋있게 다가오는 것 같아요! 진심으로 응원합니다",43.0,7개월 전
11,ayoungheo1389,댓글은 사실 안 남기는데 늘 잘 보고 있어요 ◡̈ 효진님 원래도 갓생이지만 더 나아가는 모습이 너무 멋져요! 일이 바빠서 유튜브 쉬엄쉬엄 하시더라도 누가 뭐라고 할 사람 없을테니 뭐든 화이팅 하세요,2.0,5개월 전
12,Bisol123,한국 공략을 어떻게 할지 확실하게 아는 진짜 똑똑한 회사라는 생각이!,14.0,7개월 전
13,iiyagi,"언니 진짴ㅋㅋㅋㅋㅋ 대답은 못 해도 일단 히히*^^* 헤헤*^^* 하면서 웃고 있는 거 귀여워ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
근데 천천히 얘기하면 영어 진짜 잘하심",100.0,7개월 전(수정됨)
14,usertt5ui6uf8q,"와! 런던에서 한국분이
매출 1위라니! 정말 대단하신분이네요 효진님도 멋지시구 !!!",96.0,7개월 전
15,userem5vz5og4w,효진님 정말 멋있어요  이번 영상도 완전 잘 봤습니다 열정 뿜뿜 느껴져요 ️,1.0,7개월 전
16,Rinpndip,"와 근데 샬롯 회장님 정말 괜히 ceo가 아니네요 
포스가 영상을 뚫고 느껴짐 프로페셔널 ㄷ ㄷ ㄷ
효진님 좋은 기회로 콜라보 하시면서 많이 배우셨을거 같아용",24.0,7개월 전
