,youtube_id,comment,like_num,comment_date
0,hyojin94517,"9/29 단 하루!
올리브영 선렁칭 스페셜 특가 할인!

그림자쉐딩 쿨톤 + 턱브러쉬 기획SET 
20,000원 → 14,000원 (30%)
 그림자쉐딩 눈브러쉬 증정
 그림자쉐딩 코브러쉬 증정
 반지구 모바일톡 증정
선착순 한정 증정으로 조기마감 될 수 있으니 
이세상 찐쿨톤분들...!! 서두르세요️️

눈브러쉬 + 코브러쉬 + 그립톡(한정수량) = 44,000원  최대 68프로 할인 14,000원

29일 밤12시 오픈!
 https://bit.ly/3SiDxgL",142.0,11개월 전
1,usernc8fe8nt8n,효진님!! 톤업없이 쿨톤 메이크업도 보여주세요!!!!! 효진님 피부톤과 착붙인 피부에서 효진님 퍼스널 컬러에 맞는 색조 얹은 모습 궁금해용!!!,387.0,11개월 전
2,oijqw2922,"12:56 눈썹 13:15
16:35 얼굴형쉐딩

24:00 눈
25:54 (중안부가 길거나 여백이 많다면) 애굣살로 좀 짧아 보 이게한다
27:11 쌍커풀 길이 연장
28:08 속눈썹
33:54 블러셔 중앙에서 옹졸하게
자신의 장점을 극대화시키는 메컵을해라.",107.0,8개월 전(수정됨)
3,userqt7eg3vp8g,나.. 나 너무 기다렸어요.. 2주 동안 혹시라도 놓칠까봐 효진님 채널 매일 3시간에 한번씩 들어와서.. 확인하고.. 기절할 거 같아요.. 선런칭 놓치면 웁니다.. 너무 이쁘고 제품 넘 이쁘게 잘 만드셨어요 효진님🥹 구독자들을 위해서 이렇게 좋은 제품 만들어주셔서 감사합니다 수고하셨어요 + 엉엉 무통장 입금으로 겨우 선착순에 들었는데 올리브영에서 오류가 나서 임금 안 되는 계좌라고 떠서 결국 취소하고 다시 주문해서 선착순에는 안 들었지만 구매했으니가 만족! 잘 쓸게요 효진님,161.0,11개월 전(수정됨)
4,userhs4ej7qm6i,ㅋㅋㅋㅋㅋㅋ 효진님 진짜 노인정 가는 메이크업 올리실 때 까지 볼거니까 어디 가면 안대여!!!!>.<,53.0,11개월 전
5,usersr8qt4ge8i,"설명도 잘해주시구~진짜 좋아요ㅜ
효진님이 만든 쉐딩들 찐으로 잘쓰고 있어요~ 쿨톤쉐딩도 넘 기대되요",19.0,11개월 전
6,Gracemc2qs,전에 나왔던 쉐딩 넘 잘쓰면서도 좀 쿨톤스러우면 진짜 나한테 딱이겠다했는데! 바닥보인지 좀 됐지만 뭘 골라야할지 몰랐는데 바로 갈아탈 수 있게 나왔네요~ 너무 좋아요!!!,5.0,11개월 전
7,userle7ql4qt3c,언니 바로 샀어요 이런 구성 가져와줘서 고마워요!,13.0,11개월 전
8,tomatoggi5606,"그림자셰이딩 너무 잘 쓰고 있어요ㅠㅠ 만들어줘서 넘모 고마워 웜톤이라 오리지널 쓰는데 진짜 대만족이에요 ˘͈ ᵕ ˘͈
이번 영상 팁두 잘 보구 가용 ><",12.0,11개월 전
9,127yes8,"화장 완전 재밌게하셔서 좋아요  팬 된지 이틀 째, 어제 재조명이랑 브러쉬들도 주문하게 됐습니당 ㅎㅎ 영상 귀에 쏙쏙 들어오고 보기 좋아요",13.0,11개월 전
