,youtube_id,comment,like_num,comment_date
0,heejooyoo,"멋찐 거셀을 위한 폰케이스 구경하고 가세요 여러분! 마음에 든 제품이 있으셨을까요••? 그리고 홈투어 이벤트 당첨자분들! 더보기란 확인해주세요오 

그럼 행복한 주말 보내세요 여러분 사랑해요 유후—!",25.0,6개월 전
1,cocobak,"하드케이스 불편한거 공감 흐흫 ,, 그와중에 폰케이스랑 그립톡 이렇게 자세하게•• 홈페이지 까지•• 완전모야,, 짱친절공주님 거울셀카까지 모아모아 모든걸 알려주는 히쥬님 그냥 사랑슨 해피썬데이 보내세요",5.0,6개월 전
2,userkn4rl7ru2l,언니는 갈수록 얼굴이 애기가 되어가는 것 같은 느낌슨 ...  아이폰은 순정이지!!!! 하고 맨날 투명 케이스만 끼고 다니다가 언니가 예쁜 거 추천해주니까 뽐뿌가... 이번 기회에 장만해야겠어요 ️,14.0,6개월 전
3,useren8kj2ki3t,"꺄,,, 당첨됐다니!!! 너무 행복해용️️️ 저도 곧 이사인데 희주님 선물 제일 잘 보이는 곳에 전시해 둘래용🫶 감사합니다 ㅎㅎㅎ 저는 놀랍게도(?) 아직 아이폰 11을 쓰고있어서... 핸드폰 케이스를 자주 바꿔주면서 기분전환 하고 있는데 새로운 브랜드 찾는게 쉽지않더라구요! 와 근데 인스타에서 그립톡 사진 보고 눈돌아갔자나여 ㅋㅋㅋㅋㅋㅋ 예쁜 브랜드 너무 많네용 하나하나 사모으게쒀... 희주님 햅삐 주말 보내용",4.0,6개월 전
4,stilllove7077,"오떻게 이렇게 취저만..ㅠㅠ
제가 우연히 보고 까먹어서 찾던 제품들과… 눈여겨보고 있던 제품들과.. 뉴 취향저격 아이템까지 다 있는.. 희주슨은 정말 뭘까..🫶",1.0,6개월 전
5,userft7nt7jp3p,언니 케이스나 그립톡들 진짜 너무알록달록 힙하고 귀엽고 한 아이템들이라 궁금했는데 딱 이렇게 올려주시다닛 손민수할게오 .. ,4.0,6개월 전
6,myouisoulie,"me encantan tus vídeos, esperó y vuelvan tus maquillajes hablando español 🪷",1.0,6개월 전
7,usertt5ui6uf8q,"미쳐따리,,, 희주님도 제품도 너무 이뻐요",0.0,6개월 전
8,userdb3cr9lq8i,"이렇게 다양하게 힙한 폰 케이스들이 임ㅅ는지 몰랐어요 ,,!!
저는 이때동안 뭘 쓰고 다닌거죵 ㅎㅎ
진짜 빠짐없이 다 이쁨ㅋㅋㅋㅋෆ",0.0,6개월 전
9,BBigdust,악 기여우요 !!!!!!! 항상 언니 케이스 탐나는거 많았눈데 ㅎㅎㅎ 곧 핸드폰 바꿀 예정인데 너무완전정말 도움돼요 ️️ 저장 해놨다가 구매각  폰케이스만 봐도 언니 센스를 엿볼수 있다눈 ,5.0,6개월 전
10,userro3ln6dk8h,아니 폰케이스 봐야하는데 희주님 이쁜 얼굴먼저 보는 제가 이상한건가요!?! 희주님처럼 반짝반짝한 폰케이스 너무 이뻐요 당장 구매합니닷,0.0,6개월 전
11,userxr7zu3pd2s,언니 케이스 아이템들도 다 너무 이뻐서 항시 궁금했는데 영상이라니이ㅜㅜ 너무 좋타,0.0,6개월 전
12,userlm9nn7uy6y,헙 당첨이라뉘.... 이게 꿈이에요 생시에요!!! 시상에나????!!🫢🫢 언니답게 항상 폰꾸도 잘 하시는 것 같은데 역시나 요번에도 예쁜 제품들 알 수 있어서 조아요 희민수해보겠어요 소품들도 왕왕 잘 쓸게요!! 언니 센스의 도움을 받아 방 인테리어를 구제 받아야게쑤요ㅎㅎ,0.0,6개월 전
13,nayeonjessicakang695,언니는 케이스도 독특 ㅎㅎ 언니랑 찰떡들이에용,1.0,6개월 전
14,useret5io9kh8t,어떻게 이렇게 특이하고 예쁜 템들을 많이 아세용 ㅠㅠㅠ 예뿐 제품들 손민수하고 싶네영!,0.0,6개월 전
15,sisi0309,꺄하 케이스 살라구 고민하구 있었는데 언뉘 타이밍 최고예요ㅠㅠ 덕분에 예쁜 케이스 득템 할 수 있을꺼 같아영️️,1.0,6개월 전
16,userpz8md1lf4p,헐 페넥 너무 이뻐요...품절되기전에 빨리 사야겠어요감사해요!!,0.0,6개월 전
17,Vivibm7lf,헉헉 미쵸따 기둘리고 기둘리던 폰케영상쓴..🫶 바로 사러간다. 글구 언뜻 보이는 스벅 텀블러도 넘 잘 어울려요잉...,0.0,6개월 전
18,userzn8vq5ch9q,사고 싶은거 넘 많아요 벌써 장바구니에 세개나 담아두고 고민중이요 오늘도 알찬 컨텐츠 감사합니둥!!,0.0,6개월 전
