,youtube_id,comment,like_num,comment_date
0,ROSEHA93,"안녕하세요 로즈마뤼 여러분!!️
오늘은 파리 여행 브이로그 1편입니당!!
(tmi. 한국 오자마자 코로나 걸려서 고생하느라 영상 업로드가 일주일 늦춰졌어요,,ㅠ_ㅠ 여러분덜 다들 감기 & 코로나 조심하세유,,!!🥹 암튼 영상 기다려주셔서 감사해요)
추억 회상하면서 재밌게 편집해봤는데
우리 말희들도 같이 재밌게 즐겼음 좋겠다능..!🫶
브이로그 2편은 다음주중에 올라갈 예정입니당 :)
히히 그럼 궁금한 점은 댓글 남겨주시구요 ><
다들 행복한 연휴 보내세용~~️",208.0,11개월 전
1,usersv9qm2vt9q,진짜 여행 같이 간 느낌..! 관광명소들의 정보와 분위기와 감성을 최대한 말로 설명하시고 심지어 귀에 쏙쏙 들어오게 설명해주셔서 넘 좋아요 ,65.0,11개월 전
2,userli4fs3rc7b,"진짜 여행브이로그는 즈하언니 영상이 최고야,, 영상 분위기, 관광지 지식들, 중간중간 등장하는 유머들까지.. 그냥 틀어놓고만 있어도 기분이 너무너무 좋다구요ㅠ 언니 평생 돈 많이 벌고 여행 많이 다녀줘️",7.0,11개월 전
3,eunjeong890,"와…색감 풍경 미쳤따리..이정도면 파리 홍보영상 하셔도 될듯! 덕분에 예전 추억이 새록새록 살아나네요 유럽여행중 이태리랑 프랑스는 영감을 너무 줬던 도시라…나라만에 특색과 문화 분위기가 넘나 독특해서 지쳤던 여행에도 선명히 기억나네요.
영상 너무 이뻐요 즈하님 덕분에 추억여행 잘 갔다 왔습니다",42.0,11개월 전
4,userpt3yk7mn2n,진짜 역시 야무진 우리언니 ... 언니가 여행만 간다하면 로즈마리들이 두근두근 하는 이유가 있다니까 ㅠㅠㅠ,19.0,11개월 전
5,userdw2ge7fs6u,언니 여행 브이로그 보는거 너무 좋아하는데 이번 브이로그 기다린 보람이 있었다.. 넘행복ㅜㅜ 파리로 여행가는게 제 소원인데 언니가 너무 예쁘고 완벽하게 담아와줘서 완전 힐링 되고 너무 좋아용ㅠㅠㅠㅠㅠㅠ 언니 2편도 기대할게요 사랑해욤,19.0,11개월 전
6,xeenee5978,언니…. 진짜 단 한 순간도 놓치지않고 함께 공유하고자하는 마음이 넘 잘 느껴져서 좋아요 ㅠㅠㅠㅠㅠㅠ넘 고마워요 …🥹울어야지..,20.0,11개월 전
7,aej1805,언니 해외 여행 브이로그라니ㅠㅠ 드디어!! 기다리고 기다리던 파리 브이로그가 올라왔다🥹 언니는 항상 어딜 가기 전에 자세히 알아보고 공부해 가잖아요! 그래서 언니 브이로그를 통해 다양한 지식들을 접하는 것 같아요! 언제나 정성 가득한 영상 만들어줘서 고맙고 브이로그 2탄도 얼른 올라오길 기다릴게용🫶,3.0,11개월 전
8,userrl6cr1rb4j,즈하언니 해외브이로그 영상을 얼마나 기다렸는지ㅠㅠㅠㅠ진짜 언니 특유의 감성포인트 편집방법과 브이로그 너무 좋아요ㅠㅠㅠㅠㅠㅠ여행 제발 자주자주 가주세요ㅠㅠㅠ,1.0,11개월 전
9,kkk986,즈하언니 영상 볼때마다 느끼는건데 언니 여행감성이랑 저랑 너무 찰떡이라구요... 강에 건물들 촤랴라 조명 비친것보고 고흐 별이 빛나는 밤 얘기하는 언니보고 확 느꼈다죠...나중에 꼭 언니 파리여행 코스대로 여행해보기 체크!,0.0,11개월 전
10,userjh7ev2zg6b,언니 파리 여행 즐기면서 사전조사 해서 설명하는 거 넘 좋아요!! 곧 파리 가는데 덩달아 설레는 느낌,1.0,11개월 전
11,userfu2df9nb8d,얼마만의 즈하 언니 여행 브이로그인지 진짜 너무 행복하고 그리웠던 감정이 몽글몽글 올라와요 언제나 언니 영상은 저에게 하루의 행복한 마무리예요! 오래오래 편하고 즐겁게 유튜브 해주세요 언니!!,2.0,11개월 전
12,usersw5bm7yf4s,"즈하언니 여행 브이로그가 제일 잼나요
목소리도 조곤조곤 설명도 잘 해주시고 일정 한 곳도 빠짐없이 세세하게 영상에 담아주시니까 완전 대리만족이에요🫶🫶",9.0,11개월 전
13,maerongbaby,와... 시간가는 줄 모르고 넋 놓고 봤어요.. 즈하언니 여행 많이 많이 다녀주세요 ,18.0,11개월 전
14,userhr3di3wf9z,"진짜 이 언니 브이로그 보면 여행 뽐뿌 옴 ,,,,, 진짜 여행이 미친듯이 가고싶지만 현생에 지쳐 주말에는 그냥 기절 ㅠㅠㅠ,,여행 가려면 금전적으로나 심적으로 여유가 있어야 하는데 전 둘 다 없어요 ㅠㅠㅠ 하지만 반대로 여행을 갔다오고 나면 오히려 마음의 여유를 찾을 수 있겠죠 ,,? ㅠㅠ가까운데라도 떠나야겠어요 ㅠㅠ",2.0,11개월 전
15,userjw2cw1qw6g,"언니 코로나 걸렸었다니ㅜㅜ 외장하드 때문에도 많이 고생했다고 인스타에서 봤었는데, 그럼에도 이렇게 빨리 브이로그 업로드해줘서 너무너무 고마워요🥹🥹 아마 이 영상도 10번도 넘게 돌려보겠지.. 기숙학교 다니는 고3으로서 진짜 너무너무 답답하고 힘들고 지칠때도 많은데 언니 영상 보면서 앞으로를 꿈꾸고, 더 넓은 세상에 나아가기 위해서 열심히 공부해요 언니는 진짜 내 동기부여이자, 꿈 그 자체 수능이 얼마 남지 않은 지금, 너무 지치고 힘들때도 많은데 언니 영상으로 항상 힐링합니다️️ 언니 보면서 더더 열심히 할게요! 항상 힘이 되어주어서 고마워요….장미언니 사랑해",9.0,11개월 전
16,userkz6yj9mu8g,"언니 영상 좋은 이유
정성이 뚝뚝 넘침️ 하나하나 소중히 찍어서 소중히 편집한 게 전달되서 행복해요오️",30.0,11개월 전
17,userkk2ko6ox4y,이 얼마만의 여행 브이로그인가ㅠㅠㅠ 진짜 너무 좋아요 즈하 언니 여행 브이로그 영상은 각각 5번 이상씩은 돌려 본 것 같은데 이번 영상도 두고두고 쟁여볼 것 같아요 언니 매번 좋은 영상 만들어줘서 고마워요,2.0,11개월 전
18,userww2dy5ly9n,"와 진짜 이게 얼마만의 즈하언니 해외여행 영상인가,,, 진짜 너무너무 기다렸다구요ㅠㅠㅜ 이 조합 진짜 넘넘 좋쿠..ㅎㅎ 저도 코로나 얼마전에 걸려서 오늘 격리 마지막 날인데 대리만족 잔뜩 하고 갈게요..!!!!! ️",28.0,11개월 전(수정됨)
19,leeluna3041,편집 정성봐... 너무 아기자기해서 쟁여놓고 하루에 한 번씩 보고싶어요,12.0,11개월 전
20,bbing32,"언니 프랑스에 대해 너무 친절하게 알려주셔서 진짜 프랑스을 진짜 열심히 공부하진것 같아요. 로즈하언니 덕분에 프랑스 추억여행 잘 갔다와요. 다음 브이로그 2탄 기다릴께요.️
감사함니다~!",2.0,11개월 전(수정됨)
21,userxg2cn1zh4n,언니 언니 영상 너무 재밌게봤어요 여행풍경만 담는게 아니라 중간중간 설명해주시는데 저도 같이 여행하는것같았어요! 베르사유궁전가서 오디오들으면서 설명하시려고 애쓰시는 모습도 너무 보기좋고 감사했습니당! 덕분에 언니랑 같이 파리여행하고왔네욤! 그리구 중간중간 깨알 웃음포인트까징! 재밌게 잘봤습니당,1.0,10개월 전
22,userej3wp4qs5z,언니 여행 영상 진짜 좋아했는데 이렇게 다시 보게 돼서 넘 조아요…,2.0,11개월 전
23,GAVIN033,너무 고마워요... 너무너무 가고 싶은 파리를 이렇게 자세히 담아주다니ㅠㅠ 로즈하님의 정성이 영상에 듬뿍 담겨 있는 것 같아요 좋은 영상 감사합니다,3.0,11개월 전
24,hjixog,"역시 로즈하 하면 여행영상이지 오늘 영상도 넘 재밌어요 ㅠㅠ 언니 해외여행 영상 사골마냥 계속 돌려봤는데..!! 새 여행영상이라니!!!🥹 나 로즈말희 행복하다… 영상엔 안나왔지만 언니가 인스타에 스포해주신 다이어리 사진 보고 기절.. 안 예쁠수가 없다..!! 다음 여행영상도, 다이어리도 얼른 보고싶어요 히히️ 언니 컨디션 조절하고 아프지 마세욧.. 항상 재밌는 영상 업로드해주셔서 감사해요언니 영상 보면 항상 기분 좋아지고 힘나서 행복해요 희희 로즈하 라뷰..

+)진짜 영상미 무엇…!!! 레전드️",13.0,11개월 전(수정됨)
25,Jennaim,로즈하님 인스타 눈팅하면서 일주일을 보냈었는데 입으신 옷들이랑 파리의 배경이랑 너무 잘 어울렸어요!! 특히 디즈니랜드 사진이 너무 잘 나오셨던 것 같아요! 저는 파리에도 디즈니랜드가 있는줄은 1도 몰랐는데 담에 파리로 여행간다면 꼭 디즈니 랜드도 가볼려구여~! 이제 여행허가로 많은 나라들을 여행할 수 있어서 저도 가족들과 이번 겨울에 해외여행을 예약했어요!! 로즈하님은 여행허가니깐 또 가보고 싶은 해외가 있으실까여??,2.0,11개월 전
26,uservh5cm7ny4i,와 영상에 웅니가 뼈를 갈아넣은게 느껴져요..🥹🥹 정성가득.. 공주들끼리 여행하는거 넘좋자나~~,11.0,11개월 전
27,nadeang5738,그냥 놀고 먹는 컨텐츠가 아니고 중간중간 설명들을 곁들여 같이 여행하는 듯한 브이로그라 너무 좋아요!!!,2.0,11개월 전
28,userys8hm9ct9n,베르사유 궁전도 화려하고 으리으리하지만 갠적으로 지베르니 진짜 예쁘네요! 빨간머리 앤이 딱 원했을 법하다는 표현 완전 찰떡,2.0,11개월 전
29,usertd1gh3pq1w,우와 로즈하님 확실히 리프레시 된게 보여요! 코로나동안 점점 가라앉던 텐션이 코로나 전으로 돌아가서 다시 해맑아진 느낌ㅎㅎ 역시 여행이 답인가봐요~ 신나서 편집하신 게 느껴지고 그만큼 이번 영상도 너무 재밌네요~~!!! 아 원래 내가 좋아하던 로즈하 영상이지 이게 이런 느낌?ㅎㅎ,1.0,11개월 전
30,userfc2lr4fc8h,"와 드디어 돌아왔다.
진짜 얼마만에 보는 해외여행 브이로그지ㅠㅠ
언니 진짜 오래 기다렸어용 
역시 여행 브이로그는 즈하 언니가 최고️",1.0,11개월 전
31,Edgggge,우앙 ㅎㅎㅎ 파리 진짜 가고싶은데 대리 만족해요 .. 진짜 4년? 5년전부터 꾸준히 봐온 로즈마리인뎅 브이로그 너무 재밌어요 …!! 도쿄 브이로그 진짲 재밌었는데 이번것두 레전드 오랜만에 해외 브이로그 봐서 너무 조아요 ,1.0,11개월 전
32,Yoongimarryme39,제가 다시 가고 싶은 나라가 파리였는데 제일 사랑하는 즈하 웅니 영상으로 파리를 다시 볼 수 있다니 너무너무 행복해요 제가 느끼는 이 행복함보다 더더더 언니는 행복만 하길 바랄게요,2.0,11개월 전
33,DMJ12,공주님들 여행 보기만해도 눈호강 제대루…,1.0,11개월 전
34,Fioregf3ck,"언니 영상은 언제나 정성이 가득가득
마치 제가 파리 여행 다녀온 것 같아요️
감사합니다️",1.0,11개월 전
35,userwn2jo1yt3j,꺄아ㅠㅠ드뎌 즈하 언니 여행 브이로그는 진짜 최고에요!!영상미 정말 너무 예뿌고 언니는 진짜 넘넘 공쥬에요!!️️️언니 다른 여행 브이로그 영상 항상 돌려보고 있었는데 새로운 브이로그 올라와서 넘 행복해요ㅠㅠㅠ>_< 정말 정상가득 브이로그 올려주셔서 넘 감사하구 ㅠ온니 코로나 걸리셔서 아프셨다고 들었는데ㅠ아프지 마요ㅠㅠㅠ정말 로즈마리라서 넘 좋아요오!!사랑해요 언니️️️️,1.0,11개월 전(수정됨)
36,mingming,우왕 역대급 오랜만에 언니 여행 브이로그를 보다닝 대리 만족 뿜뿜이예여️ 파리에서도 미모가 너무 예쁘세요️,2.0,11개월 전
37,uservl6zr5kv4i,오랜만에 여행 브이로그 넘 소중해ㅠㅠ 언니가 행복해하는게 너무 잘 담겨서 보는데 더 행복해요,2.0,11개월 전
38,userhn3pd8mg8c, 드디어 로즈하 해외여행 브이로그가 돌아왔다 항상 영상 너무 잘 보고 있고 남은 영상도 너무 기대되네요  여행 브이로그가 최애인데 돌려볼 영상이 또 생겼네요  앞으로 여행 브이로그 많이 보고 싶어요 ️,2.0,11개월 전
39,userrq3gf4oq8j,드디어 파리브이로그!!! 기다리고 있었어요 파리도 너무 이쁜것같고 언니도 공주님이고,4.0,11개월 전
40,isuxaaaa,이걸 시험기간때문에 이제야 보다니...ㅠㅠㅠㅠㅠ 진짜 다들 넘 이뻐요️️,1.0,10개월 전
41,seri7747,"시험기간의 단비같은 영상이예요,,, 돌려보고 또 돌려볼래요 언니 영상보니까 너무너무 여행도 가고싶고 행복하고 막 그래요ㅠㅠㅠㅠ 이 영상 돌려보면서 브이로그2편 기다릴게요
(인스타에서 코로나 확진 되셨었다고 하셨는데ㅠㅠ 건강관리 잘 하세요 즈하언니,,,ㅠㅠ  이미 걸려봤던 저는 아직도 후유증 달고 사는 중이예요ㅜㅜ)",1.0,11개월 전
