,youtube_id,comment,like_num,comment_date
0,Jiminn92,헐 ㅠㅠ 저 진짜 오랫동안 언니 봐왔는데 처음으로 댓글 달아요.. 진짜 너무 대단하고 디자이너님이 뭘 의도하고 언니를 세웠는지 바로 느껴졌고 진짜 너무너무 멋졌어요ㅠㅠㅜ,128.0,10개월 전(수정됨)
1,DuBu02222,새삼…류나님이 드디어 성공하셨구나를 느끼는…이런 부분 말고도 패션팁이나 영상들도 유익하고 예엣날 영상이랑은 퀄리티도 달라진거 보니까 영상편집도 더 신경쓰시는것 같고 이런 열정…나도 본받아서 더 열심히 살아야겠다 라는 생각이 들게 만드는 유튜버…🥹🫶,34.0,10개월 전
2,useroi1yw1hb7s,언니 진짜 너무 고생했고 넘 자랑스러워요! 앞으로도 꽃길이시길!,25.0,10개월 전
3,userzc1th4cl7e,맨날 챙겨보는데 이번 영상 너무 대박이에요ㅜㅜ 넘 이쁘시기도 하구 대단하시다고 느꼈어요!! 항상 응원합니당:),19.0,10개월 전
4,userlg8ux4hg4v,아 언니 런웨이 하는데 진짜 저도 같이 떨려서 죽는줄.... 흐지만!! 무사히 잘 끝내서 너무 좋아오!~!!!,35.0,10개월 전
5,userqf5bp7wg8u,핫 girl 같은 비주얼에 똑부러지고 정확한 말투까지 넘 넘 조와…,21.0,10개월 전
6,userdv2hv1nf8h,I’m so happy you visited my town unnie  you looked so cute during your trip hope you come back soon,2.0,10개월 전(수정됨)
7,userlg8ux4hg4v,우런니 장하다 장하다....!!!!! 언니 오랜 팬으로서 기분이 엄청 묘해오............ 진짜 ... 흑흡끕흑륵흑(냅다 오열) 앞으로도 좋은 일 많았으면 좋겠으요.. 언니 항상 응원할게오!!!,32.0,10개월 전
8,userjh4bx5je8x,와 언니 진짜 너무 멋져요 요즘 너무 힘든데 언니 일본 여행 영상 같은 거 보면 힐링 돼요 🫶,14.0,10개월 전
9,jungyoon,와 진짜 류나로써 너무너무 기쁘고 너무너무멋있어용 고생하셨어요 언니가 세상짱️️️,2.0,10개월 전
10,userfp6wp2rq5i,진짜 자랑스러워요 언제나 멋진 류스펜나! 마니 애정해요ㅎㅎ,2.0,10개월 전
11,usermi8ev1vz6k,펜나님 영상 넘 잘 봤어요 파리에서 런웨이라니 정말 대단하고 멋지신거 같고 진짜 넘 예뻐요,4.0,10개월 전
12,apieceofsea,진짜ㅠ 멋있고 넘 대단하세요!!,2.0,10개월 전
13,mzeyo,"경아언니 진짜 대단해요 
항상 느끼지만 언니 너무 멋있구 인성도 좋아보이고 예쁜건 당연해여ㅎㅎㅎ. 그리고 특히 요즘 영상 너무 다채롭고 재밌어요! 언니 지금은 일본에 계신건가요? 
항상 언니가 더 잘됐으면 좋겠어요 ㅎㅎ 영상퀄리티며 구성이며 실력이며 ㅎㅎ 언니는 더 잘될거에요",3.0,10개월 전
14,userxb1hv6mz6f,와 점점예뻐지시는듯 모델도 너무 잘 어울리시네요. 이번영상 너무재미있게봤어요. 화이팅!!,6.0,10개월 전
15,jjw0639,"""안녕하세요 여러분 그리고 류나들, 류스펜나의 류경아입니다!"" 
수백번 들으며 이젠 자동으로 목소리가 들리는 오랜 구독자입니다 ! :)
 오늘 영상 속 한 분야에 열정을 가진 사람이 진가를 인정 받고,  또 발전을 꿈꾸는 그 모습이 얼마나 멋있는지 느꼈어요. 
런웨이에서 워킹하시는 모습이 왠지 뿌듯하며 구독자로서 너무 자랑스러운 느낌ㅠㅠㅠ
항상 응원하고 정말 영상 잘 챙겨보고 있어요!
다양한 컨텐츠와 꾸준한 업로드 항상 감사드리며 롱런해요 우리!!!♡♡",8.0,10개월 전(수정됨)
16,minmin99,좀 오래 전부터 이 언니 말투가 특이해서(영상 시작 할 때 “류스펜나의 류경아입니다” 들으려고..) 구독하고 영상 늘 챙겨보는 사람인데 되게 자유로우면서도 하고 싶은 거 다 하고 사시는 부러우면서도 멋진 분이신 듯..문득 댓글 남기고 싶어서 이렇게 글 적었어요. 언니 근데 이 부분 0:47 설명하실 때 팔 액션 취하는 거 넘 귀여우세요 ㅋㅋㅋ 언니 늘 화이팅~!~!,18.0,10개월 전
17,cutesnowman,와 .. 언니 넘 멋있어요 .. ,2.0,10개월 전
18,dhthdud03139,언니 진짜 너무 멋있다앙 응원해여,2.0,10개월 전
19,userch6ik4kw6e,세상에 언니 개멋있다 증말.. 내가 뭐라고 넘모 뿌듯함ㅜㅜ,4.0,10개월 전
20,cesong8547,진짜 언니 너무 멋지다,2.0,10개월 전
21,userqf5bp7wg8u,웅니 진짜 요즘 최고에요 영상도 너무 재밋구 ㅠㅠ 사랑해요ㅠ연예인이라구 해도 믿을 웅니 얼굴… 스타일 다 너무 멋있어요🥹🥹🥹,4.0,10개월 전
22,Ashvw8qd,류나로써 자랑스럽고 행복해요️,2.0,10개월 전(수정됨)
23,mohong,"미쵸따,,이런느낌 잘안받는데 국뽕,,,,,? ㅋㅋㅋㅋㅋㅋ 류스펜나님이랑 같은 한국인이라서 매우 자랑스럽군용",7.0,10개월 전
24,userfr5kq5gp3c,구독만 하다가 댓글 처음 다는데 넘 멋있고 잘 어울려요 샤넬쇼의 데본아오키 같았어요 역시 언니는 국내에만 있기엔 넘 아까웠나봐요 파리 가시니까 넘 힙하고 더 멋있으세요 금발도 넘 이쁘고 알아봐주신 디자이너님 안목도 굿,5.0,10개월 전
25,dewrain,당당하게 해내는 모습 진짜 므찌다…️,2.0,10개월 전
26,orangep,짱짱짱 멋진 류스펜나님~ 진짜 너무 멋있으신것 같아요,0.0,10개월 전
27,zonnafreemalife,언니 너무 멋져요.. 패션런웨이 모델까지ㅠㅜㅠ 당신 사랑해 행복해보여 행복하자,1.0,10개월 전
28,miracle777,류나들 아빠미소 흐ㅡㅡㅡ믓 ,149.0,10개월 전
29,Newthankyou,헐 언니 이제 완전 월클………. 대박이다,1.0,10개월 전
30,usermp8yu1ce6r,"언니 뉴스 나온거 봤어요ㅜㅜㅜ
대브악 너무 멋져멋져!!",10.0,10개월 전
31,kgr625,파리패션워크 끝나고 말걸어주신 여자분 너무좋으신분같아요!!!오늘도 뉴스펜나님 패션센스,3.0,10개월 전
32,suxf4fe,아니 넘나 멋찌잖아.. 가방도 넘 예쁘잖아..,1.0,10개월 전(수정됨)
33,silvermi6218,진짜 존멋ㅠㅠ️️️,1.0,10개월 전
34,usertc8eo8ic3n,언니 영상들마다 특히 헤어스타일링이 너무 예뻐서 챙겨보고있는데 혹시 비오는날 묶은 머리 튜토리얼 알려주실 수 있나요?!,3.0,10개월 전
35,usernf7qu1jw3j,너무 멋져요,0.0,5개월 전
36,userce5dx5wn3d,류스펜나~~넘넘 멋지고 자랑스럽다요~♡♡♡,1.0,10개월 전(수정됨)
37,Yooyan,Unnie 쏘 골져스 ㅠㅠㅠㅠ멋있습니다 진짜!!,0.0,10개월 전
38,wapan,너무 멋지세요 \ ^ >^ /!!!!,1.0,10개월 전
39,ytbdream,울 언니 최고닷....,2.0,10개월 전
40,usergo5wt8uz7l,최고에요 엉니ㅎㅎ후ㅜㅜㅜ 넘 멋있서요!!!!!,1.0,10개월 전
41,userzm9hz7vk2u,ㅇㅣ쁘다! 멋지다! 자랑스럽다!,1.0,10개월 전
42,MrDragonviet,An nyeong ha se yo beautiful Ryu Penna ♡ really sublime share and chance to see this thanks to you and you represented the beauty of South Korea well  Ryu in Paris great video moment Gam sa hab ni da,1.0,10개월 전
43,usered6bx9rj4g,넘 멋있구 예뻐여~~~~,0.0,10개월 전
44,1sneko,헐 가방 진짜 이뻐요...♡ 뭔가 류스펜나님이랑도 잘 어울려요!,2.0,10개월 전
45,usertd1bi4hn4c,"우와와와 !!! 깜짝 놀라서 달려왔네요
넘 대단하세요 류스펜나님 ",2.0,10개월 전(수정됨)
46,goodfruit79,패션쇼 메이크업이 자연스럽고 더 예쁘네요,3.0,10개월 전
47,Patriccg6zd,너무 멋있어요ㅎㅎ,0.0,10개월 전
48,mae2182,뉴스에서 보고 빨리 영상 업로드 되기만을 기다렸어요!!!,3.0,10개월 전
49,eunji5505,징짜 개멋있다,0.0,7개월 전
50,useruk2ll1du5y,우와 ㅠㅠ 저 때 했던 라방 보고 싶어요,0.0,10개월 전
51,userke3rk1hy1b,진짜언니너무예뻐용....,1.0,10개월 전
52,strawberrynya,"와 인플루언서를 표현한건가 
진짜 흥미롭고 시선간다",0.0,8개월 전
53,uservv3lt3vv2c,"멋져요ᆢ진짜 ᆢ대박 런웨이 !!!
착장이랑 파리구경 대리만족하고 가요
앞으로 다양한 활동 기대됩니다",3.0,10개월 전
54,useruf7mh8uk8f,엥 헐 저 1열에서 봤었는데 .. 되게 닮았다고 생각했는데 언니 맞았네요 헐,1.0,10개월 전
55,useryf2zi1vu4b,멋있습니다,1.0,10개월 전
56,salmon0541,늘 응원합니다.. 아리따우세요...,0.0,10개월 전
57,usernf2nt9hr6p,"와... 언니 딱 기다려 내가 납치할거니까...
저 매력있는 얼굴에 
매력있는 몸매에
매력있는 목소리에
매력있는 패션감각에
저런! 행운까지!!
나랑 사귀어주지 않을거면 납치하는 수밖에 없어,,,",2.0,10개월 전
58,userdj1pm2hu7m,류스펜나님  멋지세요~,0.0,10개월 전
59,userbr4ho1xx1g,너무이뻐요  흑청자켓에 카고 ㅠㅠㅠ,0.0,10개월 전
60,lovelygoogoo,류나로써~  경아씨 넘 장해  예뻐여,1.0,10개월 전(수정됨)
61,userfd9hv8wu7r,멋져요~~~,1.0,10개월 전
62,userkn3gn4ig5e,턴 할 때 급정거 하는 거 빼면 겁나 잘해써요ㅠ ㅜ,0.0,10개월 전
63,kikx9zm,보는데 내가 다 벅차네....행복만 하세요...,0.0,8개월 전
64,usernf2nt9hr6p,"진시왕이 왜 이렇게 불로장생에 집착했는지 알것같ㄷr,,,
바로 지금의 류경아를 보기 위해서!",3.0,10개월 전
65,openthedoor,류스펜나님 day3에 입었던 버클 조끼 어디 제품인가요??ㅜㅜ,1.0,10개월 전
66,userbj8qc9te1v,류스펜나님 너무 예쁘십니다,1.0,10개월 전
67,useriv4mr1zp1t,류스펜나 참 대단하다,1.0,10개월 전
68,1852,제가 다 설레네요^^,1.0,10개월 전
69,EternalVerborgenheit,응원하고싶네요.,2.0,10개월 전
70,khyyyya,헐랭 허리랑 골반 미쳐써여,3.0,10개월 전
71,son7092,류스펜나(RYU.S PENNA)님 먹는모습이 아주예쁘시는군요.,2.0,10개월 전
72,userzq8hk5id9j,와 음햑진님을 만나셨네어,1.0,10개월 전
73,SJGLSTV,,0.0,10개월 전
74,bae1782,장래희망란에 류스펜나 적어야겟다 이제부터 내 롤모델임,2.0,10개월 전(수정됨)
75,userep5by8mm5l,까눌레는 럼이 들어가서 술 맛이 나요!,1.0,10개월 전
76,userbi8fm4lz5q,하 뿌듯,1.0,10개월 전
77,useryh1bf7xs8s,광고인가요?,1.0,8개월 전
78,userhw1hb2ef8x,아.....네....,0.0,10개월 전
79,peterlorenceurtola3256,your so beautiful and your outfit is so beautiful..your so amazing,1.0,10개월 전
