,youtube_id,comment,like_num,comment_date
0,id9158823,"리안님은 브랜드에 따라, 시즌에 따라 잘 어울리면서 다른 스타일로 잘 보여주셔서 정말 좋은거 같아요. 오래오래 봐도 매번 눈길이 가고 집중되고 좋아요!",3.0,1년 전
1,pencilwizard9978,"얼굴도 이쁘고 패션센스도 너무 좋고 설명도 너무너무 잘하세요.
항상 유튜버 대박 응원하실께요.",7.0,1년 전
2,userpg9bn6nn6k,정말 룩북하면 리안 님이죠!! 이번에 가을 옷들 어떤 거 살지 마침 고민이었는데 딱 룩북이 올라오다니 ㅎㅎㅎ 이번 룩북도 옷도 설명도 깔끔하고 색감도 예쁘고 재질도 좋아서 넘 예뻐요!!,0.0,1년 전
3,seongyun1600,옷 색감이 너무 예쁜거 같아요!! 오늘도 좋은 영상 감사합니다,0.0,1년 전
4,usertk6rq1uc7p,꺅 가을룩북!!! 가을이 오고있다 두근두근,1.0,1년 전
5,angeljulianaviesca3528,your new hair looks so good on youuuu,0.0,1년 전
6,jeweldekit5053,언니 앞머리를 너무 이쁘다 너무 잘 어울려요,0.0,1년 전
7,xxiiw,可愛すぎる️,0.0,1년 전
8,kimdabichi,머리 너무 잘 어울려용!!!,2.0,1년 전
9,userbj8qc9te1v,리안님 너무 예뻐요,1.0,1년 전
10,jerryjelly7604, 안봐도 존예다 잘볼게요,1.0,1년 전
11,karakuwa553,今日も1日お疲れ様でございます♪今日は曇りで32℃まで上がるみたいです♪今は冷んやりてます♪本日も素敵な動画をありがとうございました。,0.0,1년 전
12,userjd3ky5tc6r,Love… 노란색 트위드 셋업 구매하러 갑니듀,0.0,1년 전
13,lisafilm3278,待ってたああああ♡,0.0,1년 전
14,userzy1bj8iw4y,깨아아아앙악 리안님의 룩북🫶🫶,0.0,1년 전
15,yhy7236,완전센스!굿굿굿,0.0,1년 전
16,ddilddile,뉴진스 하니 같아요️‍,8.0,1년 전
17,bigearthlittleme,리안님 사용하시는 카메라 궁금해용,0.0,1년 전
18,murlnz4nu,모모 닮으셨어요 넘 이쁘...,1.0,1년 전
19,claraaprilia5794,i love your pony,0.0,1년 전
20,sorbet795,첫번째룩 운동화 뭘까요??,0.0,1년 전
