,youtube_id,comment,like_num,comment_date
0,aileas2228,"I really think there should be affiliate links so if we buy something on Shantokki's recommendation, shantokki gets a small commission! I'd been eyeing those pencils but I  wasn't sure to get them before, and before on a previous video on recommended items, I have definitely bought things  during my travel based on shantokki's suggestions!",0.0,4개월 전
1,Renababey,깡총 휴대용 컨실러 만들기 아이디어 정말 쵝오 남은 파운데이션 빨리 저렇게 만들어서 써야겠어요!!!,4.0,4개월 전
2,angella0116,"언니 컨실러 추천 넘 좋아요! 메이크업 제품 신상들도 리뷰해주세용~
토끼언니 항상 응원합니당!!
깡총!",2.0,4개월 전
3,LIUstudio,샨토끼님 화이팅!,17.0,4개월 전(수정됨)
4,usereu7hx6xd8j,"최고~최고~
너무나 기다렸어요.
컨실러 정보 너무 고마워요~
감사해요~^^  잘 쓸게요~",2.0,4개월 전
5,userjk6sp4rp2d,진짜 항상 찐으로 쓰시는것 추천많이해주셔서 넘감덩이에요 항상,2.0,4개월 전(수정됨)
6,mong8064,"이언니는
정말 이렇게 아낌없이 다 털어줘도되나 ㄷ ㄷ ㄷ ㄷ ",2.0,4개월 전
7,usereu7hx6xd8j,"긴머리 떡안지고,  찰랑찰랑 유지할수있는 제품도 소개해줘요.
기다릴게요~^^ 두분 행복하세요~",3.0,4개월 전
8,userve5dw1yz4f,드디어 올라왔네용 ,6.0,4개월 전
9,cheartaisherimon8599,헉 오일펜 공병 너무 꿀팁이에요!!! ,0.0,1개월 전
10,userzg7oy8st7j,샨토끼님 너무 예쁘십니다,3.0,4개월 전
11,userbk6pd1hl1q,영상속 립도 궁금해요 !!,4.0,4개월 전
12,userdk1nv5fd1o,아이프라이머 순위 매겨주세요!,0.0,1개월 전
13,JessicaGarciaSalas,️,5.0,4개월 전
14,usereu7hx6xd8j,샨토끼 홧팅~,2.0,4개월 전
15,userpg5pl4bu8r,"언니, 간만에 댓글 남기러 왔어요~ 기분이 챱챱해요ㅠ 어째 챱챱할때마다 오는지 가스라이팅 하는 회사때문에 관두고 다시 구직중인데 힘좀 불어넣어줘요ㅠㅠㅠㅠㅠ헝",1.0,4개월 전
16,useruu4ty5zk4u,언니 욕실템도 해주세요,0.0,3개월 전
17,raheeliulee,,4.0,4개월 전
18,jaquelinmedina1644,Beautiful shantokki,0.0,4개월 전
19,akinuakinu2087,,0.0,4개월 전
20,dmsqls2075,저는 샨토끼님 쿠션 리뷰 어어엄청 조와해여ㅜㅜ 백화점 브랜드 별루 해주세요ㅠㅠㅠㅠㅠㅠㅠㅠ,1.0,4개월 전
21,ppappiyongs,깡총!! 🫡,2.0,4개월 전
22,useryw7zz1mt4i,Hola ️,0.0,4개월 전
