,youtube_id,comment,like_num,comment_date
0,mayladossantos4210,"Graças a Deus você existe Soyeon,estou precisando muito dessas dicas porque meu cabelo está caindo muito,e só confio em você quando se trata de beleza!",41.0,6개월 전
1,pirimi,"I was just having this issue yesterday when I washed my hair, it's like you read my mind, this video couldn't come at a more perfect moment!
thank you for another amazing video ",7.0,6개월 전
2,MariaGomesof3th,"Faz tempo que assisto seus vídeos, mas nunca comentei rsrsrs....amooo seus vídeos e dicas ...como fã de dorama amoo ouvir vc falando em coreano...acho tão lindoooo....que acho que em outra vida  fui coreana",5.0,5개월 전
3,chexmarleny2434,Hola Soyeon que cuidados me recomiendas para el cabello ya que últimamente he estado en mucho contacto con el calor de la plancha y secadora que cuidados esenciales debo tener saludos de Guatemala 🇬🇹,4.0,6개월 전
4,asminhe9618,Amo seus vídeos ️️,11.0,6개월 전
5,manoellasousa2061,"amo seus vídeos. obrigada por compartilhar sua sabedoria conosco!! muita gratidão, sucesso sempre ️
bjs do brasil para coreia 🇧🇷🇰🇷🫰",0.0,1개월 전
6,qeti3107,"holaaa, puedes hablar sobre las líneas de expresión en el cuello o conocidos como los anillos de Venus? también algún método para quitarlo o evitarlo por favor ",12.0,6개월 전
7,paristar,"Alimentos Ricos em Zinco abaixo!

- Amendoim
- Amêndoa 
- Camarão
- Carne Vermelha
- Castanhas
- Chocolate Amargo
- Feijão
- Grão-de-Bico
- Frango
- Ostra
- Ovo (gema)
- Sementes de abóbora e linhaça",2.0,5개월 전
8,meimeiotaku,justamente estoy sufriendo de demasiada caída de pelo gracias otra vez :( lo aprecio mucho no quiero quedar pelada con 23 años,1.0,6개월 전
9,kimsozi6916,I follow you from Morocco   I love that your tips are useful to me and motivate me to do so,2.0,3개월 전
10,rukia5283,I just discovered your channel and I'am very happy about it and subscribed immediately You share valuable tips for healthy skin and hair I'm sure my skin and hair will be better! You are so elegant and your voice is soothing it's pleasant listening to you,0.0,4주 전
11,hoopej,Thanks for this useful video. I always solve my health problems with your videos(^_^),2.0,6개월 전
12,zootopiaijaz7116,Your tips are always amazing Unni ,2.0,6개월 전
13,boltcrank100,"São dicas simples para acabar com a queda de cabelos, usar o gua sha é essencial? Dá  para massagear o couro cabeludo sem o massageador? Onde posso achar o glutamato? E a soja preta?",4.0,6개월 전(수정됨)
14,lidianefreitas9006,faz um vídeo falando sobre a tua alimentação diária.,6.0,6개월 전
15,luybashkaloveyou5109,Ну что за милая девушка!!! Смотреть очень приятно!!! Сразу поднимается настроение от ваших видео,0.0,4개월 전
16,szisa5328,Qual o tom do  seus cabelos?acho essa cor muito bonita,3.0,6개월 전
17,erikalima4362,Vc é linda obrigada pela dicas,0.0,2개월 전
18,vani307,Amei ,0.0,6개월 전
19,noemip,Literally needed this,0.0,5개월 전
20,nourmohamed259,Thanks for ur hard work ,0.0,6개월 전
21,kimheejung893,"Honestly, I love what you do, how do you lose weight",0.0,6개월 전
22,mountainbig9541,,2.0,6개월 전
23,cristini8680,A seyeon suas dicas vão me salvar ,2.0,6개월 전
24,alexbragadejesus2390,Soyeon seu cabelo curto  tá show de bola  você gostou dele curto é mais prático ?,5.0,6개월 전(수정됨)
25,jeonlabs,"Queria começar a lavar o cabelo a noite, pra não dormir com ele sujo  mas quando acordo de manhã, mesmo lavando de noite, ele fica o dia todo oleoso  por isso sempre lavo de manhã ou logo antes de sair. Tem alguma maneira de lavar a noite e deixar ele bonito de manhã até a noite novamente?",4.0,6개월 전
26,userxk4kc9xd5v,소연님 감기 조심하세요,0.0,6개월 전
27,noemip,Doesn't the scalp scratcher hurt?,0.0,5개월 전
28,elisabeterossi7655,"Muito obrigada pelas dicas.  Uma pergunta,  ao invés do Gua sha pode usar uma escova de cerdas largas?",2.0,6개월 전(수정됨)
29,shizukuxavier,Muito bom,3.0,6개월 전
30,brazilianbr8950,Princesinha ,0.0,6개월 전
31,haxak0993,"Hie 
Can you please make a video on why  hair of some people get really tangled
Like me,my hair is straight but it gets tangled so bad even after combing it gets tangled after 2 minutes so i had to use hair serum which is not good to use on daily basis
Please help",2.0,5개월 전
32,murielly,"soyeon, qual o nome do seu secador de cabelo?",4.0,6개월 전
33,ebrar1648,Is it okay if I let my hair dry on its own?,0.0,3개월 전
34,viniciusmilk1,Obrigado :),0.0,5개월 전
35,cleysonmexes5508,Um vídeo sobre quem tem caspa pfvr,0.0,6개월 전
36,winterbear1001,Can you make a video for dark circkes under eye ?,0.0,5개월 전
37,mirelaserafim4183,O meu cabelo é meio ruim pentear no seco pois é cacheado,0.0,2개월 전
38,rodrigopadilha1392,"OLÁ, COREANA.",3.0,6개월 전
39,gabriellyvieira9781,Thank you very much Soyeon,2.0,6개월 전
40,paristar,cortei o cabelo por causa de você KKK,0.0,5개월 전
41,nourmohamed259,I need a video for the darkness under eyes please,0.0,6개월 전
42,RAquelsant05,Olá linda ,2.0,6개월 전
43,pony0o,"Te amo, Te amo️️️",0.0,6개월 전
44,learoig7065,I never manage to keep my hair not falling im born dealing with psoriasis no cure found yet,0.0,4개월 전
45,manel818,Hi from algeria 🇩🇿 احب قناتك,0.0,5개월 전
46,Unknownuw1pz,Hello from France 🇫🇷 ,20.0,6개월 전
47,sigaseuestilo,️️️️️,1.0,6개월 전
48,prahladpuri674,How to get beautiful hand,0.0,6개월 전
49,jessicaromanestan,VITAMINA D 50.000UI,2.0,6개월 전
50,Marahzz,Primeira,4.0,6개월 전
51,tasfiatanzimnabila8343,Plz speak in english..,0.0,6개월 전
52,brooklynbaby666,thank you! I will try to do it 🩷,0.0,5개월 전
