,youtube_id,comment,like_num,comment_date
0,ACoreanaBeauty,"@LauraKuczynski https://www.youtube.com/@LauraKuczynski 
https://www.bycos.com.br/
Cupom pra vocês, meus queridos -> SOYEON5 (5% desconto)",25.0,7개월 전
1,LauraKuczynski,"Eu ADOREI gravar com você! Confesso que algumas coisas só entendi depois. Agora eu sei o que era pra fazer na pálpebra embaixo 
Adorei a experiência ",188.0,7개월 전
2,9camila09,"Acho que as brasileiras estão aprendendo muito com as coreanas. Por exemplo, hoje em dia prezo muito mais por um bom skin care e minha pele está bem cuidada do que passar kilos de maquiagem. (Nada contra quem usa, apenas digo que EU não acho bonito em mim)",208.0,7개월 전
3,SweetCarol,Adorei o vídeo de vocês juntas! Ficou linda com a make brasileira ,42.0,7개월 전
4,boltcrank100,"A diferença que eu noto é que  a make  brasileira é bem carregada mas não ficou ruim na Soyeon não pelo contrário ficou até bom, enquanto a coreana é  bem leve com a região da olheira marcada, ao meu ver as duas podem ser usadas no dia a dia",52.0,7개월 전
5,mariasophiadelimasilva9650,"Amei o coque, seria muito legal um vídeo com penteados que as coreanas gostam de fazer para usar no dia a dia!",32.0,7개월 전
6,betealvarez,"Adoro o estilo coreano de se maquiar, super minimalista e discreto.",23.0,7개월 전
7,gabrielepaiva6793,"Graças aos doramas descobri a importância de cuidar tanto da pele e focar mais numa pele saudável do que em usar muito maquiagem. Antes eu era refém de corretivos, bases, cada vez mais pra deixar pele porcelana, só que o efeito era rebote.",15.0,7개월 전
8,livcosta359,Soyeon falando em português é tão fofa ,7.0,7개월 전
9,dilceiaalmeidasantos5250,Ai amei a participação da Laura ,13.0,7개월 전
10,pudinzinho00,"Gosto mais da maquiagem coreana, acho a make brasileira muito pesada e envelhece demais haha ainda mais agora que já tô nos 30 tacar essas base mate que craquela a cara e evidência marca de expressão deus me free",17.0,7개월 전
11,nadirbarbo,Minha make atualmente tem sido mais uma mistura da beleza Coreana com a beleza Francesa. Amoooooo,0.0,7개월 전
12,ludmilavieira5803,Amoooo vocês,2.0,5개월 전
13,luanadamasc232,"Juntando a preparação da pele coreana com a preparação dos olhos e da boca das brasileiras, ficaria uma make de milhões viu.",0.0,7개월 전
14,elisabeterossi7655,Duas lindas e fofas. Adorei a interação de vocês. Queremos mais conteúdos kkk,4.0,7개월 전
15,nandinhaqueamapanda,"🇧🇷: Eu sou brasileira com alguns gostos muito parecidos com o da coreia,eu amo maquiagens mas leves e para mim o cuidado com a pele é super importante.

🇰🇷: 나는 한국 사람과 취향이 매우 비슷한 브라질 사람이고 가벼운 화장을 좋아하고 피부 관리가 매우 중요합니다.",10.0,7개월 전
16,estheralves8697,Como assiiiiim minhas YouTuber favoritas juntas aaaaah ameiiiii ️️️,0.0,7개월 전
17,stephanyjaques,"Minhas Youtubers favoritas da vidaaaaa, melhor collab ever ️",9.0,7개월 전
18,silviadouradolima2499,É muito bom ver a soyeon falando português.,3.0,7개월 전
19,cristianalves4340,você ficou muito linda com a maquiagem brasileira .,5.0,7개월 전
20,liviafernanda9664,"Aaa eu amo tanto vídeos de maquiagem, as duas ficaram maravilhosas ️",5.0,7개월 전
21,mariasophiadelimasilva9650,Vídeos de make são os meus favoritos! Lindas! ,6.0,7개월 전
22,lindaflor8280,"Confesso que gosto da make coreana, bem natural",0.0,7개월 전
23,sugomes5911,"A unnie é tão fofaa ameei, gravem mais vídeos juntas ",2.0,7개월 전
24,monicacaetano1919,"Sou apaixonada pelo estilo coreano, menos é mais
A propósito aprendi a lavar meu rosto com você ",2.0,7개월 전
25,lilibethecheverria8189,"Soyeon se ve muy diferente, definitivamente el maquillaje te cambia mucho~ quedaste hermosa~~!!",1.0,6개월 전
26,stermanjiro9618,As Brasileiras tendem a usar um meio de maquiagem pra parecerem mais adultas e sexy já as coreanas para parecerem mais jovens e fofas. Eu particularmente gosto mais da coreana pq gosto de maquiagens leves e que me deixa com um ar mais fofo️,2.0,7개월 전
27,cristianeoliveira5272,Amo as duas! Adorei vê-las juntas! ️,2.0,7개월 전
28,Marjorieadriane,Eu amei o vídeo! Queria mais vídeos de maquiagem coreana ,0.0,6개월 전
29,fernandacristinamartins6085,"Eu sou brasileira, e confesso que gosto mais da maquiagem coreana, kkkk, o mais leve e natural possível, vou tentar fazer em mim",0.0,1개월 전(수정됨)
30,eduarda4064,Lindas demaisss,2.0,7개월 전
31,eduardacristinecardosodeso3050,"Soyeon é a coisa mais fofa e lindinha que eu já assisti, obrigada minha flor por ter tanta paciência com agente as brasileiras rsrsrs, te gosto muito!!!!!",1.0,7개월 전
32,giovannavictoria,Que prazeroso assistir esse vídeo.  Aprendendo muito! :),0.0,7개월 전
33,heartofgab,Jurooo eu tô aprendendo mt cm ela( soyeon),3.0,7개월 전
34,lucimerimoura9740,Lindas!sou inscrita nos canais das duas  ,5.0,7개월 전
35,karinnekrys,"Desde quando comecei a seguir a Coreana Beauty que dou batidinhas no rosto na hora do hidratante. E sou meio contrário ao lema ""pouco skin care e muita maquiagem"" no meu caso é muuuito skin care todos os dias e quase nada de make.",0.0,7개월 전
36,merica88,"Lindas, maravilhosas.Amei as makes,e adoro muito mais a pele natural, dando foco no cuidado com a pele ao invés de carregada de makes.",0.0,7개월 전
37,luunaa,muito lindaaas! amei o vídeo de vocês duas juntas ️ arrasaram nas duas makes,0.0,7개월 전
38,lindaflor8280,Faz um vídeo imitando tutorias de maquiagem brasileira kkk,0.0,7개월 전
39,rosanecosta4530,"Adoro as duas, amei o vídeo! Também sou inscrita no canal da Laura. Apesar da maquiagem das brasileiras serem mais carregadas, gosto do estilo mais natural das maquiagens que a Laura gosta e ensina no canal dela, e claro do estilo de maquiagem super natural das coreanas. 
Duas lindas!",6.0,7개월 전
40,celenereyes5617,"Que bellas ambas  me gusto mucho el video, tu cabello ya luce más largo ",1.0,7개월 전
41,carlaalvesnascimento,"Admiro muito quem gosta de fazer maquiagens marcantes e com esse efeito matte que as brasileiras gostam. Mas eu, como brasileira, prefiro a naturalidade das coreanas, e principalmente, de prezar pelo skincare. 

Quando estou me maquiando gosto de fazer skincare antes, passar pouquinho base, e que seja uma base que ilumine o rosto e não deixe com aspecto opaco. Gosto de caprichar no blush para dar uma cor, e nos olhos só uma cor clarinha, rímel e delineador as vezes. ️",0.0,7개월 전
42,luanhenry8229,A maquiagem ficou muito linda,0.0,7개월 전
43,AlinneO,"Que lindas, amei! Sigo as duas tem um tempão ",0.0,7개월 전
44,iasminfelix9236,"Lauraa só cliquei no vídeo porque te vi , lindaaaas",4.0,7개월 전
45,harmonyhava,um dia fui tentar fazer uma make coreana ne ai eu consegui so num olho e o outro ficou como eu estivesse levado um soco kkkkkkkk,6.0,7개월 전
46,leilaraphael9809,"Achei muito bom esse vídeo! Já faz algum tempo que estou optando por uma pele mais leve...mas como tenho a zona T muito oleosa, preciso do pó...ainda bem que no mercado nacional já tem pós bem fininhos que deixam a pele natural....tbm prefiro máscaras de cílios de aplicador mais fino, pq meus cílios são curtos. Mas a boca sempreee bem contornada! ",0.0,7개월 전
47,sigaseuestilo,Ameiiiii  ,4.0,7개월 전
48,heartofgab,Minha coreana cm espírito de brasileira...,2.0,7개월 전
49,lilibethecheverria8189,Laura quedó muy cute~~~,0.0,6개월 전
50,scrapnostalgia,A Soyeon lembra bastante a Solar do Mamamoo ,0.0,1개월 전
51,luanhenry8229,Gostei muito ,0.0,7개월 전
52,natalias6930,Adorei ️,0.0,7개월 전
53,luanova2022,A make coreana é bem mais bonita! ,0.0,4개월 전
54,angameus,Adorei!,4.0,7개월 전
55,anaelisarezendedefreitas4969,Ameiiii!!!! ,0.0,3주 전
56,gedeilmacosta7682,Eu sou brasileira e prefiro as maquiagens coreana ,0.0,7개월 전
57,izabelalessa4574,Adoreii ️,2.0,7개월 전
58,cristielebueno,"Achei o vídeo legal...eu particularmente não gosto de pele e boca matte, e dou preferência para o cuidado com a pele do que usar muita maquiagem, prefiro uma make mais hidratante.",2.0,7개월 전
59,dannyfaco6531,"Coreana Beauty, eu tbm quero ! Me maquia, please !",6.0,7개월 전
60,rodrigopadilha1392,"VALEU, COREANA.",1.0,7개월 전
61,eduardomarins7852,Amei!,0.0,7개월 전
62,brazilianbr8950,️,2.0,7개월 전
63,daisyramos6626,"Queria muito encontrar os produtos de Skin care coreanas em Portugal,alguma indicação?",0.0,7개월 전
64,juliabarboza17,que lindas,4.0,7개월 전
65,BabyBat14,"Acho que esse look matte não é nem tão típico do Brasil em si, mas típico ocidental dos anos 2016-2018. Algumas pessoas já consideram esse look ""brega"" ou ultrapassado hoje em dia. Com o boom do kpop e do y2k, looks brilhosos (gloss, base com glow,  iluminador líquido etc.) tão entrando em voga. Mas uma coisa é inegável, nossa make pra sair é muito mais forte do que a das coreanas, não tem muita pretensão de parecer natural. 

Nossos gostos mudam conforme nossa cultura e diferentes épocas. Tenho certeza que daqui uns anos vamos voltar para a tendência matte",0.0,2개월 전(수정됨)
66,daize8687,Amei o vídeo ,2.0,7개월 전
67,maluguedet,Ameii,0.0,7개월 전
68,betearaujo2000,Gostaria de saber como fazer uma skincare para adolescentes a partir de 12 anos. Não acho nada na internet ,1.0,7개월 전
69,not8292,"Oii, eu tenho uma dúvida! Qual a sua dica para clarear partes íntimas / auxilia?",0.0,7개월 전
70,alexbragadejesus2390,Bom video soyeon como sou homem sigo uma boa alimentação atividades físicas e muita água e suco de limão sigo as dicas 70% alimentação e 30% atividades físicas dicas de chuando tan ele completou 56 anos  é uma reverência para muitos.,0.0,7개월 전(수정됨)
71,jessicamk5826,"Aloooo tenho uma pergunta :)
Eu tenho 16 anos, uso um ""foaming gel"" da bioderma com mais um creme para a acne, dps tenho uns 3 serum da ""the ordinary""( alpha arbutin, salcylic acid 2% e Niacinamide 10% + zinc 2%)
Eu não sei o meu tipo de pele e nem tenho como saber porque os meus pais não acreditam muito no cuido da pele e isso. Mas o meu problema é que eu mesmo lavando a cara 2x por dia e usando máscaras da garnier e máscara de pepino, a acne aparece na mesma
Alguém pode me dizer oque devo fazer?? Pfvr :')",2.0,7개월 전
72,bereniceschussegg6825,Eu não gosto de maquiagem mate minha pele já e seca ,0.0,7개월 전
73,juliabarboza17,oi lenda,3.0,7개월 전
74,elisabeterossi7655,"@coreanabeauty, vc conhece os produtos da Kahi? Tem alguma opinião?",0.0,7개월 전
75,soyguh7395,Lindas,3.0,7개월 전
76,megaredesocialvendas7661,,2.0,7개월 전
77,selenesecci2915,Faltou o cílios postiços,0.0,7개월 전
78,viniciusmilk1,Acho  mais bonita a maquiagem mais natural a la coreana.,0.0,7개월 전
79,usernz6wn3xb2f,Lisa makeup video potato ,1.0,1개월 전
80,ellacutxx,Sería legal se as maquiagens brasileiras fossem mais delicadas como as da Coreia não tenho nada contra as maquiagens brasileiras mas os Brasileiros reclamam da pele com espinha e é por causa da maquiagem.,0.0,7개월 전
81,sandyfmoraes,"Podia ter dado mais zoom na pele, não deu pra ver a maquiagem",0.0,7개월 전
82,jessicamenezes2,Amei esse feat!! Vocês duas combinam na beleza e profissionalismo!! ️,2.0,7개월 전
