,youtube_id,comment,like_num,comment_date
0,moa2054,하 진짜 씬님은 이미 이목구비랑 이미지가 고급인데 화장스킬마저 프로이니 정말 멋지고 세련되고 기깔나는 사람이 완성되는구나 씬님은 진짜 퍼컬이고 뭐고 안맞는게 없는거같아요 스킬+분위기로 다 압살해버려,47.0,13일 전
1,ruru671,요즘 자주오셔서 너무 반갑고 좋아요!!!!  원앤온리 유튜버,72.0,13일 전
2,usertd2jq9yv6t,"아무리 영업비밀 알려줘도 ..못따라해요 …
카키올드머니룩 너무 잘 어울리세요
조곤조곤 설명해주는 이 메이크업 영상이 
왜 그림그리는 마냥 힐링이 될까요??",20.0,13일 전
3,ina3350,와 언더속눈썹 붙인 퀄리티 미쵸따리.... 머리묶고 카키색 옷 입은 스타일링 완전 취저에요 존예 믿고보는 씬님 제대로 올드머니룩 해주셨네엽,11.0,13일 전
4,judidi7460,"씬님 진짜 저 댓글 안남기는데 요즘 보이는 뷰투버 중 제일 좋아요.. 각 영상마다 필요한 리서치도 그에 맞는 이미지 첨부 그리고 그에따른
메이크업 더불어 쑉쑉 있는 꿀팁들.. 씬님 쿠션 추천 보고 쿠션도 따라사고 진짜 최고예요ㅠㅠㅠ",10.0,12일 전
5,moa2054,씬님 뷰티컨텐츠만큼 유익한게 없다 진짜..︎ 요새 뷰티 야아악간 나태해 지고있었는데 씬님 보고 다시 관심 MAX되었어요 ㅋㅋㅋㅋㅋㅋ 텅장이 되어가는중... 언니가 추천해준 컨실러 브러시도 너무 잘쓰고있어요! 파우치마다 넣어놓게 좀 더 주문하려구요︎,4.0,13일 전
6,userrm1ki4ck1r,오ㅏ 근데 진짜 올드머니 진쩌 잘 어울려요 언니,13.0,13일 전
7,Mddng,저 대학교 입학할때 (씬님 마을버스에서 메이크업 하시던 때) 엄청 많이 보던 유튜버다 보니 씬님보면 그 어릴때가 생각나서 기분이 이상하게 뭉글몽글해져요 ㅋㅋㅋㅋ 지금은 30을 목전에 두고 있는 ..일에대한 부담과 고민만 많은..화장은 잘 안하다보니 씬님 영상보다 생로병사 비밀만 엄청 보던 썩은 직장인입니다..오랜만에 씬님 영상보며 씬님도 이렇게 10년 넘게 한결같이 열심히 활동하시는거 보면 정말 너무 존경스럽고..그냥 맴이 아련애련애릿해요 건강하세요 못본거 재주행하고 이제 자주 올게요,1.0,11일 전(수정됨)
8,JSxk7yu,씬님 지금까지 모든 스타일링 중 썸네일 스타일링 진심 씬님에게 제일 찰떡인 것 같아요... 너무 이쁨 미쳤다 ㅠㅠ,0.0,8일 전
9,ellenkim00,씬님의 메이크업 튜토리얼이 너무 너무 좋아요 자주 좀 보여주세요!!,5.0,13일 전
