,youtube_id,comment,like_num,comment_date
0,ry5051,요즘 현지님 인기가 떡상했어요ㅋㅋㅋㅋ고정멤버로 해야 할 것 같아요,36.0,3개월 전
1,iedd3993,아옳이님 드레시한 옷 입는데 현지님 아랑곳하지 않고 티셔츠 입는데 넘나 서로 스타일 상반된것ㅋㅋㅋ신경 1도 안쓰심ㅋㅋㅋㅋ넘나조하,13.0,3개월 전
2,sbining,출연료 250만원은 현지님이 받아야할듯 진짜 캐릭터 너무 소즁해ㅠㅠ ,258.0,3개월 전
3,monolog8411,자매케미 너무 좋아요 현지님이랑 민영님이랑 옷 온도차이나는 것도 웃긴데 그게 너무 편안해 보여서 너무 좋고 서로 각자를 존중하는 느낌이 들어서 좋아요 자주자주 나와주세요 사랑해요,609.0,3개월 전
4,estagf1,역시 현주디님과 함께 여행하면 맛집 투어는 걱정 없을 것 같아요  김씨 자매들 케미 역시 최고입니당 ,413.0,3개월 전
5,ssoneumn,"아옳이언니는 손에 시계,반지 했는데 현주님은 머리끈 끼고있으신 거 마저 다른 귀야운 자매 🥹🥹",142.0,3개월 전
6,userzq3ld3mj6j,나도 아옳이 언니같은 친언니 있으면 좋겠다.. 답답해도(착해서) 엄청 챙겨주고싶은(어디서 상처 받고있을까 걱정되서) 언니 일거같아요.. 나두 언니갖고싶당..,491.0,3개월 전(수정됨)
7,userxm1fk3jc1g,"현주디님이랑 같이 나오시는 영상은 두 분의 케미와 현주디님의 말빨도 재밌지만 서로 상반되는 스타일을 보는 것도 재밌어요~ㅎㅎ
아옳이님은 현주디님을, 현주디님은 아옳이님을 본인의 스타일대로 코디해주는 영상 보고 싶습니다♡",28.0,3개월 전
8,hkeem4066,자매 케미 너무 좋아요 ㅋㅋㅋ 그리고 현지님 요즘 미모도 유머도 리즈신듯ㅋㅋㅋㅋㅋ아옳이 언니 많이 먹고 더더더더 건강해지기!,97.0,3개월 전
9,spring172,현지님 멘트 하나하나가 주옥같아요ㅋㅋㅋㅋㅋㅋ진짜 웃김이라는 DNA를 갖고 태어나신 분 같은… 웃겨쥭음 ㅠ,105.0,3개월 전
10,rkddls15,둘이 같이 있는 게 가장 편안하고 너무 좋아보여요 현주언니 매일 나와줘요:),21.0,3개월 전
11,won56,진짜 너무 먹기만 해서 내 배까지 부르게 해주는 좋은 언니들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  현지 언니 매일 나와줘요,20.0,3개월 전
