,youtube_id,comment,like_num,comment_date
0,userhb7gx3zv3c,난임으로 1년 넘게 고생하다가 오늘 너무 감동적이게도 임신 소식을 알게 됐어요 🥹 그런 특별한 날 언니의 영상을 보니 특별한 에스트라 선물을 더 받고싶네요 ️ 내 비타민 아옳이온니 ! 고마워요  늘 응원합니당,21.0,7일 전(수정됨)
1,userid8gp1it1j,평소 쓰던 모공제품이 끈적임이 심해 사용감이 별로였는데 믿고 쓰는 에스트라에서 모공제품이 나왔다니!! 넘 좋아요 에스트라의 독자 성분인 더마 타이트닝 배리어 캡슐 기술이 너무 신기해요! 끈적임 없이 피부에 챱챱 흡수된다고 하니 얼른 써보고 싶어요 모공과 탄력 피부 장벽까지 케어할 수 있는 제품인데 사용감까지 완벽하다니!! 요즘 고민인 세로모공에도 효과 받을수있을거 같아서 기대됩니다,7.0,8일 전
2,yjn6627,"우와!! 🩷 아옳이 언니의 관리의날 너어어무 유익하고 좋아여! 요즘 홈케어의 중요성을 너무 느끼고 있어요..! 집에서의 매일의 루틴이 정밀 피부컨디션에 큰 영향을 미치더라구요..!! 30대에 접어들면서 피부탄력과 노화를 몸서 체험중인데 그래서 그런지 요즘은 노화 탄력 모공 이런 단어에 엄청 관심이가요!!️️ 게다가 민감한 피부를 위해 성분이 순하다고 하니 완전 믿음이 가요!! 세로로 길어진 모공, 탄력 떨어짐, 모두 저의 이야기만 같은...ㅎㅎㅎ 피부장벽을 탄탄하게 재정비하고 관리해주고 싶네용   원래도 너무 관심갖게 보고있던 에스트라  좋은 제품 소개시켜주신 아옳이 언냐 감사해요!! 🩷🩷🩷",5.0,8일 전
3,daining824,"요즘 날씨가 가을이 오고 있는지 모공이랑 피부가 살려줘에 하고 있는데 아옳이 언니덕에 한번 제품 알고 확신이 생기네요 
임용공부하느라 관리는 커녕 씻지도 못하고 산는데 언니 관리 하는거보고 씻기라도 해야게썽용 
관리 없이도 빛같은 언니 항상 행복하길  춍춍 언니보고 강의 들으러 갑니댱 춍쵸ㅛㅇ",8.0,8일 전(수정됨)
4,sentenos,"홍조+예민 피부는 여름이 끝나고 나면 평소보다 더 붉어진 피부, 화장으로 커버가 안 되는 모공들을 보고 관리의 중요성을 느끼는 것 같아요!️피부과에서 쓰는 브랜드로 알게 되고 에스트라 제품 썼을 때 순하지만 확실한 보습 진정 효과에 반해서 스킨케어 세트로 썼었는데 믿고 쓸 수 있는 브랜드에서 나온 탄력세럼이라서 꼭 써보고 싶어요!️‍탄탄한 제품들만 소개해주는 아옳이 짱️‍",5.0,8일 전(수정됨)
5,usercy8cr5mw3s,"발로 얼굴을 부신다니.. 압이 더 들어가는구나.. 진짜 세상 너무 신기해요..
언니의 관리의 날 영상 넘 재밌어요! 대리만족 지대로  이번에 홈케어 제품으로 추천해주신 에스트라 모공탄력 캡슐세럼도 너무 궁금해요! 저도 워낙 예민한 피부라 기초제품 맞는 거 찾기 힘들었는데, 그 중 하나가 에스트라 365 에센스거든요! 그래서 언니가 에스트라 모공탄력 캡슐세럼 보여주실 때 넘 좋았어요!! 믿고 쓰는 브랜드 에스트라와 언니의 추천이라면 더 믿음이 팍팍 가죠  사실 이번 제품은 나온 줄도 몰랐는데 언니 영상을 통해 알게 됐어요 ㅎㅎ 
8:59 정말 공감해요.. 모공과 탄력이 들어가는 제품들은 예민한 피부들이 쓰기엔 자극적인데, 에스트라에서 나온 제품이라 저도 한번 써보고 싶어요! 8:05 민감하면 피부가 더 빨리 나이가 드는 줄 몰랐는데.. 영상 보고 마음이 조급해졌어요 🥹 안그래도 저도 모공이 많이 늘어져서 메이크업할 때 모공 가리는걸 중점으로 하는데 에스트라 모공 탄력 캡슐세럼으로 모공도 관리하고 피부에 탄력도 주고 싶어요! 좋은 제품 소개해주고 이벤트까지 열어주셔서 감사드려요!! 그리구 괄사 팁까지  저도 언니 영상 보고 열심히 따라할게요! 에스트라.. 증말 예민한 피부에겐 구원의 브랜드! 안티에이징 제품 만들어줘서 고마워융,,!",1.0,4일 전
6,usertr4tz1os9u,에스트라에서 모공케어라인이 새로나왔다니!! 평소에 에스트라 잘 사용했었는데 모공고민이 있는 저라면 신제품이랑 찰떡일것같라요! 캡슐성분에 보습성분이 잔뜩 들어있으니 선선해지고있는 날씨에도 딱이고 장벽케어 모공탄력까지 되니 사용안해볼 이유가 없는것같아요 실제로 기기를통해 수치가 개선되는 모습을 찾아서 보니까 더 신뢰가 급급상승되었습니다!,1.0,6일 전
7,useroe2pw7ds3r,"저도 진짜 요즘 세로모공이 눈에띄게 늘어져 스트레스 였는데, 에스트라 모공세럼 너무 기대되네요! 세럼 듬뿍 바르고 괄사하는것도 꿀팁이네요  저도 꼭 체험해보고 싶어요 ",2.0,7일 전
8,dewdew1684,"요새 일교차가 심하니 낮에는 더워서 피부 모공이 늘어지고 답답하구 저녁에는 쌀쌀해져서 피부가 조금씩 건조해지기 시작하더라구요! 워낙 피부가 민감한 편이라 기초제품은 신경써서 고르는 편인데, 아옳이언니의 픽이라면 믿고 쓸 수 있을 것같아 응모해봅니다",1.0,5일 전
9,userko5rg4rj4c,"아옳이 언니 관리의 날은 진짜 꿀팁이 많이 들어있어서 최애 컨텐츠중 하나에요!!! 에스트라도 최애브랜드중 하나인데 드디어 모공관련제품이 나왔다니🫢 
이제는 여드름이 좀 진정이 돼서 괜찮나 싶었는데 이게 모공이 넓어져서 피부가 지저분하게 남게 됐어요,,, 어떤 제품을 써도 안없어지는것같아서 피부과가 답인가 생각했는데 언니 믿고 에스트라세럼 꼭 한번 써보고 싶어요!! 
제발 저를 구원해주세요 쌩얼로도 피부좋다는 소리 들을수있는 그날까지~~ 꿀팁도 잘 활용할게욯ㅎㅎㅎ
오늘도 영상 잘 봤습니다",3.0,8일 전
