,youtube_id,comment,like_num,comment_date
0,hebiancao2595,Aww you guys look so fun! I really enjoyed watching this. Cant wait for part 2!!,13.0,1년 전
1,sadeiofficial,Omg  That is the cutest bucket hat everrrr!  Aloha  from Hawai’i ️ Hope you guys had a blast! ,5.0,1년 전
2,zajn9vd,언니들ㅠㅠㅠ 영상마다 분위기 다 달라서 보는맛이 나요 좋은영상 감사합니다앙,17.0,1년 전
3,usermi5vf7ve7f,새은언니 진쨔 너무너무 예쁘고 힙하고 맛집들이랑 세세하게 잘 알려주어서 고마워요 엔젤 진쨔 일분일초가 아까운 영상들🥹️ 최고에요오,4.0,1년 전
4,userro1pl7lx2v,"언니 여행 브이로그가 젤 재밌어요 미국 브이로그도 다 5번씩은 본듯 …, 하와이편도 여러번 보게될듯 진짜 존잼이에여 ㅠㅠ",3.0,1년 전
5,xxxkim,"안녕하새은~~~~
이쁜 샌님 보고싶었는데 공주님들 영상에  샌님 뜨길래 샌님 볼려고 뜨면 챙겨 보고 있었는데 ~ 영상이 드뎌 떳네요
좋은사람들과 좋은시간 좋은 여행 하신거 같아 보기좋습니다~
날 더우니 건강 잘챙기시고 오늘도 이쁜 샌님 잘 보고 갑니다~
 좋은 하루 보내세요️",1.0,1년 전
6,sopiemarie1172,Thank you for the english undertitles ,4.0,1년 전
7,aljflawer6744,They literally look like drawings they so perfect with,0.0,7개월 전
8,alessandradenis635,I am not korean but i wanna eat korean food every day too jeje soo yummiii ,2.0,1년 전
9,jasmineuelese730,I  u I enjoyed this vlog such a vibe in Hawaii you and your friends you’re all beautiful saeeun your vlogs Never disappoint 🥹🥹🥹🥹,5.0,1년 전
10,useruv1ip2hb1n,4공주 영상 돌아가면서 보니까 안본장면도 보이고 돈것도 또보니까 같이 갔다가 온느낌 ㅎㅎ언니 패션  이뽀 힙하고 오늘 진짜 말린망고 먹고싶어서 편의점 갔는데 없어서 속상했는데 언니가 뙇!! 먹고 있네요ㅜㅜ 다 먹고싶어졌어 자주 영상으로 언니들 볼 수있어서 행뷱해요 ️,4.0,1년 전
11,pangpang923,아싸 언니 덕에 오늘은 랜선 하와이 다녀왔답!!!!! 거마워여 🫶,2.0,1년 전
12,jvnyt,Aloha! hope you enjoyed your stay in Hawaii ️🫶,2.0,1년 전
13,userqg4oz7fg1i,토끼가 생선을 먹네ㅎㅎㅎㅎㅎ️ 언니 진짜 너무 귀엽다구요ㅠㅠ 영상 언제 올라오나 기다렸는데ㅜ,4.0,1년 전
14,viivil5667,Can you guys do a vlog about visiting tokyo?,0.0,1년 전
15,hyjang4708,앗ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ샌언니 너무너무 졸귀당,2.0,1년 전
16,userrs3wc2gp1t,와 진심 너무 예뻐요 매번 리즈 갱신이에요 언닝,1.0,1년 전
