,youtube_id,comment,like_num,comment_date
0,princesscorpuz2418,Congrats unnie were happy for you️️️,2.0,10개월 전
1,AngelaS2,"하늘님 진짜 넘넘예,,, 저런 스타일 드레스도 진짜 섹시러블리 그 잡채네요 ㅠㅠ ! 저도 제 취향드레스만 엄청 캡쳐해뒀었는데, 얼굴이 잘 어울리는 드레스라,, !!! 다시한번 생각해보게되네요잉 :)",2.0,10개월 전
2,userud6tx5nl7e,아니 드레스가 하나같이 다 잘 어울려브려야 언니!!  진짜 공주야 공주,8.0,10개월 전
3,daji7187,진짜 너무 예쁘다고용 ㅠㅠㅠ,4.0,10개월 전
4,yenkh1ed,언니 너무 예뻐서 하마님이 너어어어무 부러워요 ,0.0,10개월 전
5,soojinkeem,살 뺄것도 없으신데.. 매일 다이어트 하신다는 ㅜㅠㅠㅠㅠ 저도 결혼준비 중이라 너무 도움되는 영상이 많아서 좋아여 진짜 꼰주야꼰쥬,2.0,10개월 전
6,userxl9bb1uk4x,웨딩 드레스 모델 하셔도 될거 같아요 싱그럽고 화사한 느낌이 너무너무 예뻐요ㅠㅠ,4.0,10개월 전
7,osobella,진짜 다 너무 찰떡너무 예뻐요️,9.0,10개월 전
8,food1272,저세상 포즈네요 진짜 너무 이뻐요 늘 행복하고 좋은 일들만 가득하세요♡,6.0,10개월 전
9,pearjuice06,언니 세젤예  결혼축하해요,12.0,10개월 전
10,userhr2bc1bl7z,오늘도 하늘님 웨딩 브이로그 영상 재밌게 잘봤습니다.하늘닝 결혼 축하드립니다.ㅎㅎ,2.0,10개월 전
11,uservj8ki2xy4q,역시 화보를 평소에 잘 찍으셨어서 그런가 결혼화보도 역대급으로 찍으셨네...개인화보인데 웨딩업체에서 영혼 갈아서 찍은 화보 같아요ㅋㅋㅋ,28.0,10개월 전
12,userpt3ep8hr5r,진짜 예뻐요 ㅠㅠㅠㅠㅠㅠㅠ 뿜뿜 추던 게 엊그제 같은데 벌써 결혼이라니ㅠㅠ 정말정말 축하드리고 앞으로 행복만 하세요!!,40.0,10개월 전
13,juju1031,"하늘씨 결혼 넘넘 축하드려요 
행복하세요!!!!!!!",7.0,10개월 전
14,userkd3sh7st9k,"2년전 웨딩촬영 영상도 다보고왔는데 그때는 상큼하게 예쁘셨다면 지금은 분위기있게 예쁘세요
그래서 드레스들도 너무 잘어울려요
얼굴과 어울리는게 중요하다는게 맞는 말인거 같아요^^",10.0,10개월 전
15,usertr7wi2se7k,하늘님 드레스가 너무 잘 어울리시네요 그 만큼 행복한 결혼 생활 되시길 바래요,2.0,10개월 전
16,sujin7757,너무 예쁘다ㅠㅠㅠ,1.0,10개월 전
