,youtube_id,comment,like_num,comment_date
0,userdd4rt1gd1e,일본 사는 구독자인데 티르티르가 한국 브랜드라는 거 알고 충격 받았어요ㅋㅋ 틱톡 등에서 유명세 타서 sns 바이럴로 유명해진 일본 브랜드인 줄 알았는데... 회사원님 이제 일본 사시게 되면 평범한 동네 드럭스토어나 돈키호테 가서도 이것저것 보면서 설명 해주시면 좋겠어요! 캔메이크 세잔느 유얼그램(다이소) 요런 저렴한 브랜드들 한국 로드샵이랑 비교해봐도 좋을 것 같아요!,228.0,7개월 전
1,userfk9ym1gg1h,진짜 돈주고도 못 볼 양질의 컨텐츠를 만들어내는 회사원님... 1세대 뷰티 유투버중에 알차서 꾸준히 구독하게 되는 것 같아요 다음 영상도 넘나 기대되는 것... ,64.0,7개월 전
2,oopscherry,회사원님 콘텐츠 미쳤어요 .. 사실 요즘 어떤 코스메틱 관련 콘텐츠를 봐도 흥미가 없었는데 🥹 코로나 때문에 일본 간 지 오래라 요즘은 일본 드럭스토어에 어떤 제품이 잘 나가는지 궁금했거든요. 항상 독보적으로 흥미돋고 재밌어요!!! 회사원님이 곁들여주시는 설명도 좋구요!,134.0,7개월 전
3,userfj2wd9ur5i,"회사원닙을 구독한지 진짜 오래됐는ㄷㅔ 제품 파악력, 설명을 정말 잘해주신다는 걸 느꼈거든요. 오늘 영상은 역대급 대박이고, 저처럼 뷰티 업계에서 일하는 사람들에게 너~~무 좋은 정보예요 ㅜ ㅜ 언니 코트라 재팬 먹어줘여 ㅜ ㅜ ㅜ",121.0,7개월 전
4,marryjc,진짜 몇년 전만 해도 일본여행가면 꼭 화장품 쇼핑했는게 이젠 그럴 이유가 없어진 거 같아요. 케이뷰티가 진짜 발전을 많이 한 거 같네요 ㅎ,235.0,7개월 전
5,NaNaik7hv,저많은 제품과 브랜드보다 저많은 제품과 브랜드에 대한 방대한 지식을 쉬지않고 뿜어내는 회사원님에 더 놀라고 갑니다. 솔직히 예전만큼 화장에 열정적이지도 관심있지도 않은데 이런맛에 회사원님은 끊을 수가 없음.ㅋㅋ,28.0,7개월 전
6,userue9oj5zk3y,와 일본 뷰티 상품을 넘어서 시장까지 분석해서 설명해주시는데 제가 브랜드 BM이었으면 정말 도움되었을 만한 영상이에요..ㅠㅠ 생각보다 많은 한국브랜드가 입점한 것도 신기하네요ㅋㅋㅋ 너무 유익하고 재밌게 잘 보고 갑니다!,106.0,7개월 전(수정됨)
7,whatever6903,저도 저번 달에 도쿄가서 드럭스토어 갔는데 진짜 살게 없어서 소매에 얼룩지워주는거 하나 사왔어요ㅋㅋㅋ옛날엔 하다라보나 두유스킨 이런거 쟁여왔는데 이젠 우리나라가 더 싸고 좋은 제품이 많아서... 진짜 딱 그때에 멈춰있다는 듯한 느낌을 받았어요 거기에 우리나라 제품들이랑 약간 밴치마킹한 것같은 제품군 몇개만 볼만하고...,472.0,7개월 전
8,AngelaS2,아 몇일전에 일본 여행 가기전에 이걸 봤었으면 ! 일본브랜드 제품도 한번 사와서 경험해봤으면 싶네요 !! 한국브랜드 화이팅화이팅 하는 거 보면서 저도 같이 화이팅화이팅 하고있어요 ㅋㅋㅋㅋㅋㅋㅋ 영상잘봤습니다 회사원님 ️,11.0,7개월 전
9,useryf3vi9vj4f,"예전엔 일본 가면 캔메이크 블러셔 쇼핑리스트에 꼭 들어갔는데ㅋㅋㅋㅋㅋ 일본 간지도 한참 돼서 한국 화장품 잘 나간단 얘기는 들어도 실감이 안 났는데 이렇게 보니 확실히 입점된 브랜드들이 훨씬 많아졌네요! 종종 일본 뷰티 유튜버분들 영상 보면 대부분 한국 제품이 한두개씩은 나오더라고요 특히 롬앤, 힌스, 티르티르 이렇게ㅋㅋㅋㅋㅋ",10.0,7개월 전(수정됨)
