,youtube_id,comment,like_num,comment_date
0,calarygirl,"사실 요즘 K-젤네일은 소프트젤, 하드젤 구분의 의미가 없고
제품이나 기술에따라 소프트젤로도 필인 시술이 가능하기도 합니다.
영상에 필인용 젤 예시로 보여드린 뷰젤의 기초젤 시리즈도 소프트젤들과도 호환 쌉가능하구요, 딱히 하드젤 전용시리즈도 아닙니다리

다만 일본등 몇몇 나라에선 아직 하드젤샵, 소프트젤(쏙오프젤)샵 구분이 확연 하기도 해서 영상에 넣었답니다.
여튼 요즘 K-젤은 소프트, 하드 구분 별 의미 없다고 자막으로 수정하려했는데 담당PD님이 확진 되어버렸네?ㅋㅋ그냥 올릴테니 참고 부탁드려요.",252.0,1년 전
1,userbk5by4df5j,미용 전공하는 학생인데 항상 회사원님 영상보고 많은 공부가 됩니다..! 진짜 존경해영️️️,39.0,1년 전(수정됨)
2,ksr1004zzz,"네일 샵 한다는 유튜버도 이렇게 자세히 설명 안해주던데,;;;  여러가지 검색해서 찾아봐야 하는정보를 한영상에 잘 이해되게 설명해주셔서 감사합니다^^* 역시 믿고 보는 회사원님♡♡♡",143.0,1년 전
3,userbq7du7ml2q,"현직 18년차 문제성발톱 전문샵입니다. 너무 유익해요 정리도 너무 잘 해주셨어요 ㅜㅜ 감사헙니다 고객분들이랑 제자들, 주변 셀프네일러분들께 이 영상 적극추천해야겠어요
참고로 폴리쉬 제외 모든 제품을 사용하는 샵이라 뭔가 좀 어깨뽕 올라가네요 ㅋㅋㅋㅋ",57.0,1년 전(수정됨)
4,zoehong5527,"최근에 회사원님 영상 완전 빠졌는데, 말을 진짜 너무너무 잘하세요. 발음도 좋고, 정보전달력도 좋고, 톤도 좋아서 쏙쏙 들어오는것 같아요. 늘 감사합니다",3.0,1년 전
5,mimyong444,언니 이 전문성 어쩔거에여.. 아니 뭐.. 네일샵에서 몇년 근무하셨어요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나 네일인인데 열심히 들었어여ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 언니 셀프네일 쪼끔씩하구 막 자격증딴다고 막 그러던 떄가 엊그제같은데 언제 이런 진성네일인이 되버린거야ㅠㅠㅋㅋㅋㅋㅋ 대단해 진짜.ㅠㅠㅠㅠ 타샵디자인 예약 문의^^ 진짜 속이 다 시원해요ㅎㅎㅎㅎ,39.0,1년 전
6,Chedaar,날이 갈 수록 시그니쳐 인삿말이 모동숲 주민 같아지는 회사원님 ㅋㅋㅋㅋㅋ 귀여워욬ㅋㅋㅋㅋ,16.0,1년 전
7,kohonail7060,ㅠㅡㅠ 네일샵 하는 사람으로써 영향력있는 인물이 네일에대한 전문지식과더불어 설명해주는 이런 영상 너무 조아용. 저도 유익한 정보 알려주려고 시작했는데 아직 한참 멀었네용ㅋ큐ㅡㅠ,63.0,1년 전
8,daoongii,설명 천재만재 회사원님...... 설명 쏙쏙 귀에 잘 들어오고 최고예요,3.0,1년 전
9,userhu6qp3qv4o,진짜 정확하다.. 아는 언니가 유난이다 싶을 정도로 엄청 깔끔함 네일샵 오픈했대서 가봤더니 케어만 40분 걸림 젤 바르다 삐져 나가면 싹 닦고 다시 발라줌 한 달 반 넘게 리프팅도 없고 네일 받아보고 처음으로 만족해봄ㅋㅋ,8.0,11개월 전
